% Model,0d65h_solved_859.mph
% Version,COMSOL 5.6.0.280
% Date,"May 11 2021, 15:44"
% Table,Table 55 - Global Evaluation 6
% freq (Hz),1-abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
80,0.03590110982895392
80.1,0.035907323267783745
80.2,0.035913591075636304
80.3,0.035919913993193456
80.4,0.03592629277397914
80.5,0.03593272818431378
80.6,0.03593922100371136
80.7,0.03594577202551013
80.8,0.03595238205625469
80.9,0.035959051917337115
81,0.035965782444381526
81.1,0.035972574487946156
81.2,0.03597942891287688
81.3,0.03598634660081856
81.4,0.03599332844811678
81.5,0.03600037536775568
81.6,0.03600748828944334
81.7,0.036014668159516046
81.8,0.03602191594165364
81.9,0.03602923261724333
82,0.03603661918619711
82.1,0.03604407666603873
82.2,0.036051606094535824
82.3,0.03605920852789828
82.4,0.03606688504288711
82.5,0.03607463673620228
82.6,0.03608246472566581
82.7,0.036090370150224135
82.8,0.036098354171133884
82.9,0.03610641797177188
83,0.03611456275842644
83.1,0.03612278976128617
83.2,0.03613110023425213
83.3,0.036139495456325305
83.4,0.0361479767315943
83.5,0.03615654538943881
83.6,0.0361652027875554
83.7,0.036173950309531085
83.8,0.03618278936724614
83.9,0.036191721401838746
84,0.03620074788290472
84.1,0.03620987031120986
84.2,0.03621909021781629
84.3,0.03622840916610877
84.4,0.036237828751543424
84.5,0.03624735060353072
84.6,0.03625697638571839
84.7,0.036266707797008794
84.8,0.036276546572454015
84.9,0.03628649448454841
85,0.036296553343797264
85.1,0.03630672499974486
85.2,0.03631701134302525
85.3,0.03632741430503877
85.4,0.036337935859792114
85.5,0.03634857802543908
85.6,0.036359342864622814
85.7,0.036370232487235594
85.8,0.03638124904911566
85.9,0.03639239475640659
86,0.036403671865011145
86.1,0.03641508268280041
86.2,0.036426629570615446
86.3,0.036438314944299714
86.4,0.03645014127599444
86.5,0.036462111096146464
86.6,0.036474226994874834
86.7,0.036486491623359464
86.8,0.03649890769719653
86.9,0.036511477996108856
87,0.03652420536829646
87.1,0.036537092730523635
87.2,0.03655014307138898
87.3,0.03656335945297157
87.4,0.036576745013156664
87.5,0.03659030296864667
87.6,0.036604036616778614
87.7,0.03661794933782825
87.8,0.0366320445988963
87.9,0.0366463259547625
88,0.03666079705303771
88.1,0.036675461634940655
88.2,0.03669032354008625
88.3,0.03670538670836964
88.4,0.03672065518450437
88.5,0.03673613312064447
88.6,0.03675182477963375
88.7,0.0367677345408299
88.8,0.03678386690121334
88.9,0.03680022648171927
89,0.03681681803002775
89.1,0.036833646425271566
89.2,0.03685071668428844
89.3,0.0368680339630105
89.4,0.036885603565274455
89.5,0.03690343094465649
89.6,0.03692152171282881
89.7,0.03693988164259667
89.8,0.03695851667633839
89.9,0.036977432929907496
90,0.036996636700399446
90.1,0.037016134472708725
90.2,0.03703593292619972
90.3,0.03705603894272153
90.4,0.03707645961317113
90.5,0.03709720224693477
90.6,0.03711827437928417
90.7,0.03713968378040826
90.8,0.03716143846495939
90.9,0.03718354670098605
91,0.03720601702164295
91.1,0.03722885823362055
91.2,0.03725207942979075
91.3,0.0372756900008437
91.4,0.03729969964643134
91.5,0.03732411838911001
91.6,0.0373489565877034
91.7,0.03737422495076929
91.8,0.03739993455243602
91.9,0.03742609684697944
92,0.03745272368644828
92.1,0.03747982733773157
92.2,0.037507420500143766
92.3,0.037535516324955366
92.4,0.037564128436467
92.5,0.03759327095186215
92.6,0.03762295850538583
92.7,0.03765320627062538
92.8,0.03768402998672002
92.9,0.03771544598419562
93,0.037747471213398935
93.1,0.037780123273617856
93.2,0.037813420445035203
93.3,0.03784738172085648
93.4,0.03788202684404188
93.5,0.037917376342238865
93.6,0.03795345156968307
93.7,0.0379902747468897
93.8,0.03802786900632412
93.9,0.03806625843875557
94,0.03810546814380787
94.1,0.03814552428306111
94.2,0.038186454136476956
94.3,0.038228286162557815
94.4,0.03827105006269502
94.5,0.038314776850048166
94.6,0.038359498921017775
94.7,0.03840525013554895
94.8,0.038452065897863964
94.9,0.03849998324683331
95,0.03854904095044948
95.1,0.03859927960786424
95.2,0.03865074175841929
95.3,0.03870347199861212
95.4,0.03875751710699768
95.5,0.038812926180081794
95.6,0.03886975077560699
95.7,0.03892804506964414
95.8,0.038987866022998266
95.9,0.03904927356303315
96,0.039112330777607625
96.1,0.03917710412648163
96.2,0.0392436636666381
96.3,0.03931208330117187
96.4,0.03938244104283317
96.5,0.0394548193049536
96.6,0.03952930521226149
96.7,0.03960599094361937
96.8,0.039684974099539104
96.9,0.03976635810843947
97,0.039850252662267945
97.1,0.03993677419837323
97.2,0.04002604642262627
97.3,0.0401182008826052
97.4,0.04021337759663281
97.5,0.04031172574189088
97.6,0.04041340441277458
97.7,0.04051858345470416
97.8,0.04062744438090729
97.9,0.040740181389456696
98,0.04085700248111751
98.1,0.04097813070282502
98.2,0.04110380552401097
98.3,0.04123428436762956
98.4,0.04136984431243892
98.5,0.04151078399631609
98.6,0.04165742573627564
98.7,0.041810117911817025
98.8,0.041969237630365544
98.9,0.04213519373278301
99,0.04230843017529004
99.1,0.04248942985679906
99.2,0.04267871894754051
99.3,0.0428768718112288
99.4,0.043084516604531845
99.5,0.04330234167159222
99.6,0.04353110286971514
99.7,0.043771631975434065
99.8,0.0440248463771242
99.9,0.044291760273697585
100,0.044573497664439916
