% Model,0d65h_941-solved.mph
% Version,COMSOL 5.6.0.280
% Date,"May 16 2021, 15:01"
% Table,Table 55 - Global Evaluation 6
% freq (Hz),1-abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
80,0.035795205984029146
80.1,0.03579957258973438
80.2,0.035803965536417556
80.3,0.03580838508808977
80.4,0.0358128315126206
80.5,0.03581730508033684
80.6,0.03582180606480784
80.7,0.0358263347429793
80.8,0.03583089139465832
80.9,0.035835476303367114
81,0.03584008975629545
81.1,0.03584473204299653
81.2,0.03584940345737695
81.3,0.035854104296717086
81.4,0.035858834861468646
81.5,0.0358635954561872
81.6,0.035868386388941964
81.7,0.035873207971565284
81.8,0.03587806051925924
81.9,0.035882944351981395
82,0.03588785979301624
82.1,0.03589280716935647
82.2,0.03589778681298393
82.3,0.03590279905904258
82.4,0.03590784424760719
82.5,0.0359129227224946
82.6,0.035918034832194516
82.7,0.035923180929277355
82.8,0.03592836137084242
82.9,0.03593357651878249
83,0.0359388267395226
83.1,0.03594411240412059
83.2,0.03594943388816818
83.3,0.03595479157278628
83.4,0.03596018584312882
83.5,0.03596561708984196
83.6,0.035971085708804494
83.7,0.03597659210105968
83.8,0.03598213667237411
83.9,0.03598771983501846
84,0.035993342005020766
84.1,0.03599900360545483
84.2,0.03600470506454301
84.3,0.03601044681580226
84.4,0.036016229299477634
84.5,0.03602205296096457
84.6,0.03602791825198691
84.7,0.03603382563050404
84.8,0.03603977556033803
84.9,0.03604576851262174
85,0.036051804963530734
85.1,0.03605788539708572
85.2,0.03606401030359978
85.3,0.036070180179898007
85.4,0.03607639552990165
85.5,0.03608265686490733
85.6,0.03608896470311812
85.7,0.03609531957014929
85.8,0.03610172199897705
85.9,0.036108172530473076
86,0.036114671712795296
86.1,0.03612122010223703
86.2,0.03612781826301573
86.3,0.03613446676730144
86.4,0.03614116619645336
86.5,0.03614791713923011
86.6,0.03615472019367939
86.7,0.036161575966340447
86.8,0.036168485072618266
86.9,0.03617544813694711
87,0.036182465794017286
87.1,0.03618953868655154
87.2,0.03619666746809936
87.3,0.03620385280105359
87.4,0.03621109535862637
87.5,0.03621839582410858
87.6,0.03622575489072388
87.7,0.03623317326238487
87.8,0.036240651654529235
87.9,0.03624819079254588
88,0.03625579141370787
88.1,0.03626345426734084
88.2,0.03627118011289103
88.3,0.036278969722751256
88.4,0.03628682388173561
88.5,0.03629474338591682
88.6,0.03630272904494431
88.7,0.03631078168135032
88.8,0.0363189021304062
88.9,0.036327091240887045
89,0.036335349875198965
89.1,0.03634367891010168
89.2,0.03635207923625846
89.3,0.036360551758663
89.4,0.03636909739798783
89.5,0.03637771708924134
89.6,0.03638641178308756
89.7,0.036395182446318786
89.8,0.036404030061556895
89.9,0.036412955627870974
90,0.036421960161234376
90.1,0.03643104469495778
90.2,0.0364402102795786
90.3,0.03644945798355404
90.4,0.03645878889386569
90.5,0.03646820411634804
90.6,0.036477704775099394
90.7,0.03648729201490379
90.8,0.03649696699957949
90.9,0.03650673091354473
91,0.036516584962250694
91.1,0.03652653037230753
91.2,0.03653656839220107
91.3,0.036546700292343165
91.4,0.036556927366426566
91.5,0.036567250930810105
91.6,0.03657767232618154
91.7,0.03658819291705863
91.8,0.03659881409325211
91.9,0.036609537270090024
92,0.036620363888312385
92.1,0.03663129541611151
92.2,0.03664233334830197
92.3,0.0366534792080715
92.4,0.03666473454695173
92.5,0.03667610094588238
92.6,0.03668758001554089
92.7,0.036699173397147525
92.8,0.03671088276359818
92.9,0.03672270981987326
93,0.036734656303840804
93.1,0.03674672398678639
93.2,0.03675891467501627
93.3,0.03677123021020476
93.4,0.036783672469487466
93.5,0.036796243368175774
93.6,0.03680894485891802
93.7,0.03682177893399783
93.8,0.03683474762519686
93.9,0.036847853005426076
94,0.03686109718989172
94.1,0.036874482336731476
94.2,0.03688801064844386
94.3,0.03690168437289435
94.4,0.03691550580408699
94.5,0.03692947728460601
94.6,0.03694360120496752
94.7,0.03695788000724378
94.8,0.0369723161843356
94.9,0.03698691228223676
95,0.03700167090170749
95.1,0.03701659469874458
95.2,0.03703168638728513
95.3,0.03704694874030903
95.4,0.037062384590881084
95.5,0.037077996834773835
95.6,0.037093788431195776
95.7,0.03710976240547768
95.8,0.03712592185030458
95.9,0.03714226992796905
96,0.03715880987195309
96.1,0.03717554498934352
96.2,0.037192478662502484
96.3,0.037209614351908005
96.4,0.03722695559752845
96.5,0.03724450602200525
96.6,0.037262269331936305
96.7,0.037280249322140226
96.8,0.0372984498759382
96.9,0.03731687497001931
97,0.03733552867534448
97.1,0.03735441516158058
97.2,0.037373538699211645
97.3,0.03739290366231311
97.4,0.03741251453215061
97.5,0.037432375901479444
97.6,0.03745249247568519
97.7,0.03747286907849388
97.8,0.037493510654437845
97.9,0.037514422273073236
98,0.03753560913304206
98.1,0.03755707656544293
98.2,0.03757883003934463
98.3,0.03760087516596762
98.4,0.03762321770190873
98.5,0.03764586355548174
98.6,0.037668818791186554
98.7,0.03769208963434164
98.8,0.037715682478409895
98.9,0.03773960388758376
99,0.03776386060560127
99.1,0.03778845955907143
99.2,0.037813407866186366
99.3,0.037838712842495625
99.4,0.03786438200671564
99.5,0.03789042308948849
99.6,0.03791684403977906
99.7,0.037943653032696964
99.8,0.037970858478295684
99.9,0.037998469029360056
100,0.03802649359050468
