% Model,65h0d_v111_solved.mph
% Version,COMSOL 5.6.0.280
% Date,"Apr 12 2021, 10:14"
% Table,Table 55 - Global Evaluation 6
% freq (Hz),1-abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
80,0.036049604552640134
80.1,0.03605921891178792
80.2,0.03606896004510472
80.3,0.036078830493649974
80.4,0.03608883286465106
80.5,0.03609896983365839
80.6,0.03610924414875205
80.7,0.03611965863023669
80.8,0.03613021617554112
80.9,0.036140919760087195
81,0.036151772441157755
81.1,0.036162777360046534
81.2,0.03617393774512438
81.3,0.03618525691497352
81.4,0.036196738281484196
81.5,0.03620838535316982
81.6,0.03622020173864316
81.7,0.036232191150597184
81.8,0.0362443574086002
81.9,0.036256704443843456
82,0.03626923630318877
82.1,0.03628195715302875
82.2,0.036294871284289154
82.3,0.03630798311644915
82.4,0.036321297203187775
82.5,0.03633481823653506
82.6,0.03634855105322855
82.7,0.03636250063967295
82.8,0.03637667213807646
82.9,0.03639107085252815
83,0.036405702254772694
83.1,0.036420571992278834
83.2,0.03643568589456382
83.3,0.03645104997943449
83.4,0.0364666704632792
83.5,0.0364825537668934
83.6,0.036498706525328016
83.7,0.03651513559657038
83.8,0.036531848070760736
83.9,0.03654885128022475
84,0.03656615280962792
84.1,0.03658376050823858
84.2,0.03660168249951958
84.3,0.036619927194712715
84.4,0.03663850330515137
84.5,0.03665741985625317
84.6,0.0366766862002962
84.7,0.036696312033639045
84.8,0.0367163074107601
84.9,0.036736682762114045
85,0.03675744891113433
85.1,0.0367786170930268
85.2,0.03680019897520808
85.3,0.03682220667728139
85.4,0.03684465279378683
85.5,0.03686755041730404
85.6,0.036890913164568634
85.7,0.036914755200035815
85.8,0.03693909126707966
85.9,0.03696393671549023
86,0.03698930753443375
86.1,0.03701522038401149
86.2,0.03704169263410463
86.3,0.037068742399071895
86.4,0.037096388580285244
86.5,0.037124650908020675
86.6,0.03715354998830365
86.7,0.03718310735129814
86.8,0.03721334550402956
86.9,0.03724428798598998
87,0.037275959429523324
87.1,0.037308385623497135
87.2,0.03734159358143659
87.3,0.03737561161568085
87.4,0.037410469416652284
87.5,0.03744619813624486
87.6,0.03748283047980385
87.7,0.037520400803743276
87.8,0.03755894522038958
87.9,0.037598501712773465
88,0.037639110255137845
88.1,0.037680812947067314
88.2,0.037723654154089285
88.3,0.037767680664092196
88.4,0.03781294185274774
88.5,0.037859489866441526
88.6,0.037907379816459474
88.7,0.03795666999562566
88.8,0.03800742210680244
88.9,0.03805970151896448
89,0.03811357754072733
89.1,0.03816912372095115
89.2,0.03822641817921183
89.3,0.03828554396308891
89.4,0.03834658944350272
89.5,0.038409648746163115
89.6,0.03847482222708763
89.7,0.03854221699527686
89.8,0.03861194748795798
89.9,0.03868413610705118
90,0.0387589139224378
90.1,0.038836421448984325
90.2,0.0389168095128429
90.3,0.03900024020913283
90.4,0.03908688797179499
90.5,0.03917694076583739
90.6,0.03927060142239347
90.7,0.03936808912915571
90.8,0.03946964110875351
90.9,0.03957551450447041
91,0.039685988508188524
91.1,0.03980136676361569
91.2,0.03992198009324482
91.3,0.04004818959248309
91.4,0.04018039015966518
91.5,0.040319014524907694
91.6,0.04046453787020459
91.7,0.04061748313773936
91.8,0.040778427154240765
91.9,0.040948007713697124
92,0.04112693180614258
92.1,0.041315985205299624
92.2,0.04151604369102782
92.3,0.041728086228978306
92.4,0.04195321053080216
92.5,0.04219265149223883
92.6,0.04244780315939195
92.7,0.042720245024430385
92.8,0.043011773681215934
92.9,0.043324441142922915
93,0.04366060151029284
93.1,0.04402296818500011
93.2,0.04441468448252658
93.3,0.04483941144159723
93.4,0.04530143787291284
93.5,0.04580581945079423
93.6,0.04635855614753639
93.7,0.04696682077264861
93.8,0.047639256536915635
93.9,0.0483863689657752
94,0.04922104864413096
94.1,0.05015927813418677
94.2,0.05122110255147786
94.3,0.052431984581252124
94.4,0.053824731578662965
94.5,0.05544229343595083
94.6,0.05734191983380265
94.7,0.059601500835825466
94.8,0.06232952932887869
94.9,0.06568129699786142
95,0.0698862845982417
95.1,0.07529667555417244
95.2,0.08247812362880706
95.3,0.09239113964702571
95.4,0.10678390590342841
95.5,0.12913195054842358
95.6,0.16718235051245903
95.7,0.24094082743391063
95.8,0.41079624994637604
95.9,0.8149712068390916
96,0.7891490424809493
96.1,0.2715979747083579
96.2,0.1045439143481812
96.3,0.053197732928529855
96.4,0.03423870395461848
96.5,0.026358225568487978
96.6,0.02292590717465828
96.7,0.021486887123128837
96.8,0.021007934235863387
96.9,0.021011416077837443
97,0.02126078032110724
97.1,0.021632840103380128
97.2,0.022061162771082974
97.3,0.0225091582258374
97.4,0.022956541201360505
97.5,0.023392199300150886
97.6,0.023810290721397464
97.7,0.024208041952167848
97.8,0.024584473333047762
97.9,0.024939646902614333
98,0.025274215966497062
98.1,0.025589152820919357
98.2,0.025885583585115647
98.3,0.02616468838331025
98.4,0.026427641818620007
98.5,0.026675578491454594
98.6,0.02690957412809859
98.7,0.02713063641489682
98.8,0.027339701832101087
98.9,0.02753763612013673
99,0.02772523687564597
99.1,0.027903237331645767
99.2,0.02807231070177463
99.3,0.028233074723839933
99.4,0.028386096163589176
99.5,0.028531895142138726
99.6,0.02867094921128103
99.7,0.02880369714088055
99.8,0.02893054240490332
99.9,0.029051856367624026
100,0.0291679811861854
