% Model,0v31_solved.mph
% Version,COMSOL 5.6.0.280
% Date,"Apr 10 2021, 19:23"
% Table,Table 56 - Global Evaluation 7
% freq (Hz),1-abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
80,0.03588062472221985
80.1,0.035887384254494975
80.2,0.03589421301884604
80.3,0.03590111211189001
80.4,0.035908082652626586
80.5,0.03591512578305564
80.6,0.03592224266771598
80.7,0.03592943449602165
80.8,0.03593670248164105
80.9,0.035944047863119555
81,0.035951471906020306
81.1,0.03595897590142366
81.2,0.03596656116840249
81.3,0.035974229053840234
81.4,0.03598198093329464
81.5,0.0359898182124149
81.6,0.03599774232682178
81.7,0.03600575474340949
81.8,0.03601385696097871
81.9,0.03602205051214073
82,0.03603033696276913
82.1,0.03603871791361407
82.2,0.03604719500129696
82.3,0.03605576989939933
82.4,0.03606444431923541
82.5,0.0360732200112093
82.6,0.03608209876617864
82.7,0.03609108241529375
82.8,0.036100172833244015
82.9,0.03610937193775765
83,0.03611868169189033
83.1,0.03612810410483607
83.2,0.03613764123365373
83.3,0.03614729518436146
83.4,0.03615706811356805
83.5,0.036166962230465706
83.6,0.03617697979741723
83.7,0.03618712313266104
83.8,0.036197394611160276
83.9,0.03620779666713899
84,0.03621833179489675
84.1,0.036229002552404146
84.2,0.036239811561364445
84.3,0.0362507615103243
84.4,0.03626185515702135
84.5,0.03627309532981737
84.6,0.03628448493064805
84.7,0.03629602693723021
84.8,0.03630772440519369
84.9,0.03631958047131944
85,0.03633159835573271
85.1,0.03634378136501628
85.2,0.03635613289494454
85.3,0.03636865643346174
85.4,0.03638135556404606
85.5,0.03639423396880831
85.6,0.03640729543220052
85.7,0.03642054384410751
85.8,0.03643398320427689
85.9,0.036447617625029884
86,0.036461451337217475
86.1,0.036475488692199694
86.2,0.036489734167725794
86.3,0.03650419237214516
86.4,0.03651886804911803
86.5,0.036533766083309174
86.6,0.03654889150397662
86.7,0.03656424949209127
86.8,0.03657984538520394
86.9,0.03659568468393155
87,0.03661177305808931
87.1,0.036628116352228623
87.2,0.036644720594590084
87.3,0.03666159200186611
87.4,0.03667873698873477
87.5,0.036696162174461915
87.6,0.03671387439187048
87.7,0.03673188069538633
87.8,0.0367501883707623
87.9,0.036768804944125495
88,0.03678773819186635
88.1,0.03680699615222037
88.2,0.036826587135004876
88.3,0.03684651973337534
88.4,0.03686680283748394
88.5,0.03688744564496143
88.6,0.036908457676500396
88.7,0.03692984878922831
88.8,0.03695162919168571
88.9,0.03697380945938626
89,0.03699640055197943
89.1,0.037019413831098254
89.2,0.0370428610773268
89.3,0.03706675451160646
89.4,0.03709110681521946
89.5,0.037115931151133645
89.6,0.0371412411875611
89.7,0.037167051122787294
89.8,0.03719337571071208
89.9,0.037220230287258196
90,0.03724763080131208
90.1,0.03727559384444221
90.2,0.03730413668286347
90.3,0.03733327729374735
90.4,0.037363034400795345
90.5,0.037393427514321655
90.6,0.037424476971795996
90.7,0.037456203982742235
90.8,0.037488630675754885
90.9,0.03752178014994765
91,0.03755567652577285
91.1,0.037590345004955415
91.2,0.03762581193050977
91.3,0.03766210485117279
91.4,0.0376992525920452
91.5,0.03773728532924363
91.6,0.037776234669216986
91.7,0.03781613373545895
91.8,0.0378570172581941
91.9,0.03789892167541705
92,0.037941885237495754
92.1,0.037985948120609896
92.2,0.03803115255107184
92.3,0.03807754293488092
92.4,0.03812516600198958
92.5,0.038174070959018466
92.6,0.03822430965534326
92.7,0.038275936762249003
92.8,0.03832900996717931
92.9,0.03838359018398994
93,0.03843974178132336
93.1,0.03849753282993201
93.2,0.038557035371903005
93.3,0.03861832571459821
93.4,0.03868148474874429
93.5,0.03874659829763952
93.6,0.03881375749656489
93.7,0.03888305921074667
93.8,0.038954606489769325
93.9,0.03902850906761529
94,0.03910488391193415
94.1,0.03918385582760741
94.2,0.039265558122897934
94.3,0.03935013334093808
94.4,0.039437734073253995
94.5,0.03952852385541282
94.6,0.039622678162094506
94.7,0.03972038551353905
94.8,0.039821848704190504
94.9,0.03992728617376378
95,0.040036933539254124
95.1,0.04015104530840416
95.2,0.04026989680300059
95.3,0.04039378631904423
95.4,0.0405230375634247
95.5,0.04065800240230902
95.6,0.04079906397557947
95.7,0.040946640228500426
95.8,0.04110118793607631
95.9,0.041263207288377735
96,0.04143324714456201
96.1,0.04161191106115829
96.2,0.04179986423221334
96.3,0.04199784151483405
96.4,0.04220665672213014
96.5,0.04242721344770346
96.6,0.042660517699172215
96.7,0.04290769271744382
96.8,0.04316999642855851
96.9,0.04344884208042762
97,0.043745822766889805
97.1,0.04406274071732758
97.2,0.04440164244619173
97.3,0.04476486119053823
97.4,0.04515506841920292
97.5,0.04557533676622833
97.6,0.04602921741807188
97.7,0.046520835955718196
97.8,0.04705501194306556
97.9,0.04763740935785668
98,0.04827472747291797
98.1,0.048974945334715726
98.2,0.04974763805104771
98.3,0.05060439048920988
98.4,0.051559344825613335
98.5,0.05262993470082941
98.6,0.05383788356830824
98.7,0.05521058359267509
98.8,0.05678303309328265
98.9,0.05860061098460187
99,0.060723134948831387
99.1,0.06323094004453694
99.2,0.06623423118712622
99.3,0.06988791830893043
99.4,0.07441598546212867
99.5,0.08015317191098237
99.6,0.08761970941828949
99.7,0.0976630075660761
99.8,0.11174469985357859
99.9,0.13257048427173798
100,0.16561080273415318
