% Model,0d75h_456_solved.mph
% Version,COMSOL 5.6.0.280
% Date,"Apr 27 2021, 12:14"
% Table,Table 52 - Global Evaluation 4
% freq (Hz),1-abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
80,0.09659623307812325
80.1,0.09664020973761434
80.2,0.09668477256455325
80.3,0.09672993050974793
80.4,0.0967756926957031
80.5,0.09682206842818492
80.6,0.09686906719782683
80.7,0.09691669868549656
80.8,0.09696497276671066
80.9,0.09701389951545544
81,0.09706348921194241
81.1,0.09711375234687572
81.2,0.09716469962489549
81.3,0.09721634197195868
81.4,0.09726869054039969
81.5,0.0973217567169938
81.6,0.09737555212381108
81.7,0.09743008863089747
81.8,0.09748537835890089
81.9,0.09754143368593494
82,0.09759826725477234
82.1,0.09765589198333133
82.2,0.0977143210635334
82.3,0.09777356798082748
82.4,0.09783364650926464
82.5,0.0978945707321565
82.6,0.09795635503877122
82.7,0.09801901414107887
82.8,0.09808256308027755
82.9,0.09814701723565196
83,0.09821239233221749
83.1,0.09827870445495572
83.2,0.09834597005649569
83.3,0.09841420596471744
83.4,0.0984834294020811
83.5,0.0985536579867262
83.6,0.09862490975285054
83.7,0.09869720315510652
83.8,0.09877055708890094
83.9,0.09884499089676303
84,0.09892052438523302
84.1,0.0989971778393287
84.2,0.09907497203498235
84.3,0.09915392825324708
84.4,0.09923406829850136
84.5,0.09931541451413878
84.6,0.09939798979625686
84.7,0.09948181761597169
84.8,0.09956692202887776
84.9,0.09965332770716427
85,0.09974105994330472
85.1,0.09983014468209947
85.2,0.09992060853544135
85.3,0.10001247880683818
85.4,0.10010578350845505
85.5,0.10020055139553613
85.6,0.10029681197662849
85.7,0.1003945955501459
85.8,0.10049393322523668
85.9,0.10059485694955812
86,0.10069739953773423
86.1,0.10080159470163776
86.2,0.10090747708112748
86.3,0.10101508227376838
86.4,0.10112444687356553
86.5,0.10123560850010406
86.6,0.10134860583248877
86.7,0.10146347865882552
86.8,0.10158026790311
86.9,0.10169901567258172
87,0.1018197652953257
87.1,0.10194256137366371
87.2,0.10206744982258056
87.3,0.10219447792081925
87.4,0.10232369436403536
87.5,0.10245514931305107
87.6,0.10258889445400937
87.7,0.10272498305375921
87.8,0.10286347002189046
87.9,0.10300441197168543
88,0.10314786728773935
88.1,0.10329389619835111
88.2,0.10344256084451356
88.3,0.10359392535303982
88.4,0.10374805592729318
88.5,0.1039050209193758
88.6,0.10406489092377788
88.7,0.10422773886742313
88.8,0.10439364010774703
88.9,0.10456267253206766
89,0.10473491666663008
89.1,0.10491045578382693
89.2,0.10508937602724441
89.3,0.10527176652574656
89.4,0.10545771953233306
89.5,0.10564733055553421
89.6,0.10584069850461664
89.7,0.10603792584079134
89.8,0.10623911873755125
89.9,0.10644438725174964
90,0.10665384549145739
90.1,0.10686761181966001
90.2,0.1070858090327927
90.3,0.10730856458580336
90.4,0.10753601080516907
90.5,0.10776828511614912
90.6,0.1080055303055992
90.7,0.10824789476596736
90.8,0.1084955327802859
90.9,0.10874860481298416
91,0.1090072778232626
91.1,0.10927172558205023
91.2,0.10954212903280898
91.3,0.10981867665821037
91.4,0.11010156486960243
91.5,0.11039099842548683
91.6,0.11068719087944681
91.7,0.11099036504645993
91.8,0.11130075350872677
91.9,0.11161859915249532
92,0.1119441557363179
92.1,0.11227768849874963
92.2,0.11261947481248803
92.3,0.11296980487315793
92.4,0.11332898244369688
92.5,0.11369732564722235
92.6,0.11407516781286398
92.7,0.11446285839043091
92.8,0.11486076391613495
92.9,0.11526926906621557
93,0.11568877777186484
93.1,0.11611971442803291
93.2,0.11656252518256494
93.3,0.11701767934289597
93.4,0.11748567085899056
93.5,0.11796701995448401
93.6,0.11846227487032841
93.7,0.11897201374100139
93.8,0.11949684664184637
93.9,0.12003741777938069
94,0.12059440789045814
94.1,0.12116853681297336
94.2,0.12176056630366536
94.3,0.12237130307395125
94.4,0.12300160210370134
94.5,0.12365237024586084
94.6,0.12432457015445542
94.7,0.12501922456148903
94.8,0.12573742095442073
94.9,0.12648031669395524
95,0.12724914460158135
95.1,0.1280452190937304
95.2,0.12886994291995532
95.3,0.12972481453733317
95.4,0.13061143626561783
95.5,0.13153152323066225
95.6,0.13248691326227818
95.7,0.13347957780990424
95.8,0.13451163402583297
95.9,0.13558535815230954
96,0.13670320038872844
96.1,0.13786780139779253
96.2,0.1390820106941828
96.3,0.14034890714025258
96.4,0.14167182185205165
96.5,0.1430543638213459
96.6,0.14450044863092307
96.7,0.14601433070028413
96.8,0.14760063957026506
96.9,0.1492644207870444
97,0.1510111820644152
97.1,0.15284694552773892
97.2,0.1547783069261304
97.3,0.15681250288964182
97.4,0.15895748749435468
97.5,0.16122201955952498
97.6,0.16361576243128867
97.7,0.16614939823529412
97.8,0.16883475896188263
97.9,0.1716849771783567
98,0.17471465961124616
98.1,0.1779400874234821
98.2,0.18137944768267839
98.3,0.18505310125817762
98.4,0.18898389327424614
98.5,0.19319751306632207
98.6,0.19772291179563464
98.7,0.20259278673563275
98.8,0.20784414213201494
98.9,0.21351893719507747
99,0.21966483155956754
99.1,0.22633603726121007
99.2,0.23359428229129253
99.3,0.24150988319845476
99.4,0.2501629098515613
99.5,0.2596443992477786
99.6,0.2700575317357455
99.7,0.2815186085744252
99.8,0.29415754805440014
99.9,0.3081174191238475
100,0.32355221513050075
