% Model,482mph.mph
% Version,COMSOL 5.6.0.280
% Date,"Apr 27 2021, 12:57"
% Table,Table 52 - Global Evaluation 4
% freq (Hz),1-abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
80,0.09533960428839942
80.1,0.09536677526645662
80.2,0.09539427173383179
80.3,0.09542209767932139
80.4,0.09545025714938306
80.5,0.0954787542548881
80.6,0.09550759317297731
80.7,0.0955367781398139
80.8,0.09556631346168261
80.9,0.09559620351105559
81,0.09562645273127844
81.1,0.09565706563320357
81.2,0.09568804679905195
81.3,0.0957194008882352
81.4,0.09575113263059867
81.5,0.0957832468329128
81.6,0.09581574838056467
81.7,0.09584864223677893
81.8,0.0958819334459979
81.9,0.09591562713568305
82,0.0959497285158425
82.1,0.09598424288291475
82.2,0.09601917562365245
82.3,0.0960545322093981
82.4,0.09609031820565511
82.5,0.09612653927036392
82.6,0.09616320115911041
82.7,0.09620030971945596
82.8,0.09623787090255423
82.9,0.0962758907607238
83,0.09631437544788628
83.1,0.09635333122529294
83.2,0.09639276445867564
83.3,0.0964326816294331
83.4,0.09647308932787627
83.5,0.09651399426295855
83.6,0.09655540325884379
83.7,0.09659732325838288
83.8,0.09663976133364341
83.9,0.09668272467608587
84,0.0967262206092265
84.1,0.09677025658700446
84.2,0.09681484019901666
84.3,0.09685997917064797
84.4,0.09690568136962717
84.5,0.0969519548060539
84.6,0.09699880763792526
84.7,0.09704624817397768
84.8,0.09709428487731028
84.9,0.09714292636771617
85,0.09719218142716977
85.1,0.09724205900265388
85.2,0.09729256820992752
85.3,0.09734371833568976
85.4,0.09739551884994085
85.5,0.09744797939781186
85.6,0.0975011098128072
85.7,0.09755492011785508
85.8,0.09760942053275452
85.9,0.0976646214742725
86,0.09772053356666643
86.1,0.09777716764014983
86.2,0.09783453474195762
86.3,0.09789264613875837
86.4,0.09795151332421152
86.5,0.09801114802103077
86.6,0.09807156219080392
86.7,0.09813276803630508
86.8,0.09819477801262214
86.9,0.09825760482652753
87,0.0983212614499071
87.1,0.09838576112300103
87.2,0.09845111736275214
87.3,0.09851734396838031
87.4,0.098584455029131
87.5,0.09865246493318731
87.6,0.09872138837762938
87.7,0.09879124036817062
87.8,0.09886203623962249
87.9,0.09893379165529324
88,0.09900652261842678
88.1,0.09908024548210037
88.2,0.09915497696306165
88.3,0.09923073414003679
88.4,0.0993075344791559
88.5,0.0993853958299703
88.6,0.09946433644628133
88.7,0.09954437499466973
88.8,0.0996255305634862
88.9,0.09970782268034531
89,0.09979127131636223
89.1,0.09987589690988247
89.2,0.09996172036882302
89.3,0.10004876309200528
89.4,0.10013704698312736
89.5,0.10022659445877952
89.6,0.10031742847146669
89.7,0.10040957252242431
89.8,0.10050305067665863
89.9,0.10059788758414422
90,0.10069410849104576
90.1,0.10079173926335472
90.2,0.10089080640501237
90.3,0.1009913370750741
90.4,0.10109335911148729
90.5,0.10119690104751962
90.6,0.10130199213928671
90.7,0.1014086623834689
90.8,0.1015169425450588
90.9,0.10162686417926502
91,0.10173845965776131
91.1,0.10185176219205484
91.2,0.10196680586809255
91.3,0.10208362566958706
91.4,0.10220225750614957
91.5,0.1023227382499529
91.6,0.10244510576103444
91.7,0.10256939892598245
91.8,0.10269565769013915
91.9,0.10282392309317431
92,0.1029542373075147
92.1,0.10308664368225944
92.2,0.10322118677074124
92.3,0.10335791238848034
92.4,0.10349686764629455
92.5,0.10363810100153721
92.6,0.10378166230474987
92.7,0.10392760285007846
92.8,0.10407597542649406
92.9,0.104226834375056
93,0.10438023564174793
93.1,0.1045362368404686
93.2,0.10469489731070496
93.3,0.10485627818957698
93.4,0.10502044247155312
93.5,0.10518745508474767
93.6,0.1053573829633236
93.7,0.10553029512304099
93.8,0.10570626274536904
93.9,0.10588535925894446
94,0.10606766043332785
94.1,0.1062532444664875
94.2,0.10644219208384882
94.3,0.10663458664359585
94.4,0.10683051423917508
94.5,0.10703006381495861
94.6,0.10723332728247233
94.7,0.10744039964228837
94.8,0.10765137911958712
94.9,0.10786636729363555
95,0.10808546924323603
95.1,0.10830879370456181
95.2,0.10853645321341963
95.3,0.10876856429111767
95.4,0.10900524760338128
95.5,0.10924662815574494
95.6,0.10949283548504711
95.7,0.10974400385922947
95.8,0.11000027250073771
95.9,0.11026178581058545
96,0.11052869360952298
96.1,0.11080115139154802
96.2,0.11107932059395974
96.3,0.1113633688755021
96.4,0.11165347042097665
96.5,0.11194980625703924
96.6,0.11225256458564299
96.7,0.11256194113621287
96.8,0.11287813954936865
96.9,0.11320137176596844
97,0.11353185845845612
97.1,0.11386982946860957
97.2,0.1142155242924621
97.3,0.11456919258166233
97.4,0.11493109467559964
97.5,0.11530150218033307
97.6,0.11568069856865543
97.7,0.11606897983252401
97.8,0.11646665516313853
97.9,0.11687404769552036
98,0.11729149527937714
98.1,0.11771935132266069
98.2,0.11815798567936452
98.3,0.11860778560829796
98.4,0.11906915677571209
98.5,0.11954252436915541
98.6,0.12002833424495618
98.7,0.12052705418813404
98.8,0.12103917525517778
98.9,0.12156521320683016
99,0.12210571005858151
99.1,0.12266123574297531
99.2,0.12323238989558542
99.3,0.12381980377549465
99.4,0.12442414233952012
99.5,0.1250461064806599
99.6,0.12568643543640332
99.7,0.12634590938557538
99.8,0.12702535228098977
99.9,0.12772563487502814
100,0.12844767804071971
