% Model,900.mph
% Version,COMSOL 5.6.0.280
% Date,"May 14 2021, 17:16"
% Table,Table 55 - Global Evaluation 6
% freq (Hz),1-abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
80,0.09686549185020472
80.1,0.0969192099799112
80.2,0.09697373394339887
80.3,0.09702907813620379
80.4,0.09708525728551987
80.5,0.09714228646778929
80.6,0.09720018111307342
80.7,0.09725895701936439
80.8,0.09731863036012685
80.9,0.0973792176982714
81,0.09744073599614511
81.1,0.0975032026321631
81.2,0.09756663540247715
81.3,0.09763105254816333
81.4,0.09769647275973176
81.5,0.09776291519203328
81.6,0.09783039948068178
81.7,0.09789894575723533
81.8,0.097968574663791
81.9,0.09803930736980562
82,0.09811116558994568
82.1,0.09818417159994786
82.2,0.09825834825485612
82.3,0.09833371900870991
82.4,0.09841030793428317
82.5,0.09848813974680627
82.6,0.09856723981637427
82.7,0.09864763420117399
82.8,0.09872934966083116
82.9,0.0988124136876222
83,0.09889685452733755
83.1,0.09898270120688542
83.2,0.0990699835583043
83.3,0.099158732254625
83.4,0.09924897883098303
83.5,0.09934075571817685
83.6,0.09943409627828734
83.7,0.09952903483110832
83.8,0.09962560669442097
83.9,0.09972384821750781
84,0.0998237968215453
84.1,0.09992549103595262
84.2,0.10002897054155875
84.3,0.10013427621507852
84.4,0.10024145016851241
84.5,0.10035053580704528
84.6,0.10046157786517927
84.7,0.10057462246861952
84.8,0.10068971718318934
84.9,0.1008069110737214
85,0.10092625476151064
85.1,0.10104780048750188
85.2,0.10117160217643738
85.3,0.10129771550538397
85.4,0.10142619797542825
85.5,0.10155710898677225
85.6,0.10169050991743622
85.7,0.10182646420199441
85.8,0.10196503742767947
85.9,0.10210629741405178
86,0.10225031431709505
86.1,0.1023971607266189
86.2,0.10254691177482418
86.3,0.1026996452424816
86.4,0.10285544168087403
86.5,0.10301438453591041
86.6,0.10317656027622242
86.7,0.10334205853119524
86.8,0.10351097223475131
86.9,0.1036833977799838
87,0.10385943518400818
87.1,0.10403918824918396
87.2,0.10422276475391415
87.3,0.1044102766339691
87.4,0.10460184019083432
87.5,0.10479757630110155
87.6,0.10499761064804984
87.7,0.10520207395179974
87.8,0.10541110222891331
87.9,0.10562483706281471
88,0.10584342588657732
88.1,0.10606702228607276
88.2,0.1062957863204105
88.3,0.10652988487153527
88.4,0.10676949200002209
88.5,0.1070147893394383
88.6,0.10726596650258739
88.7,0.10752322153006885
88.8,0.10778676134905935
88.9,0.10805680228802546
89,0.10833357059253179
89.1,0.10861730301777284
89.2,0.10890824742390307
89.3,0.1092066634359544
89.4,0.1095128231465404
89.5,0.10982701185904092
89.6,0.11014952890274868
89.7,0.11048068848532333
89.8,0.11082082062683145
89.9,0.11117027216446966
90,0.11152940781368574
90.1,0.11189861132699619
90.2,0.11227828675350629
90.3,0.11266885976605891
90.4,0.11307077912185114
90.5,0.11348451823338757
90.6,0.11391057686227861
90.7,0.114349482961922
90.8,0.1148017946668358
90.9,0.11526810246056514
91,0.11574903152321844
91.1,0.11624524428582611
91.2,0.11675744321467539
91.3,0.11728637384791298
91.4,0.1178328280951304
91.5,0.1183976478621572
91.6,0.11898172900269072
91.7,0.11958602565010733
91.8,0.12021155496748107
91.9,0.1208594023690003
92,0.12153072725050706
92.1,0.12222676930787936
92.2,0.1229488555123604
92.3,0.12369840779703882
92.4,0.12447695155994806
92.5,0.12528612511408854
92.6,0.12612769012974265
92.7,0.12700354327499044
92.8,0.12791572915534796
92.9,0.1288664547604891
93,0.1298581055938355
93.1,0.13089326374139143
93.2,0.13197472812498026
93.3,0.13310553728087432
93.4,0.1342889949898056
93.5,0.1355286992171952
93.6,0.1368285748390428
93.7,0.1381929107353402
93.8,0.13962640192780096
93.9,0.14113419758222126
94,0.1427219557736753
94.1,0.14439590620729037
94.2,0.14616292215918472
94.3,0.1480306032302976
94.4,0.15000737084784335
94.5,0.15210257874079577
94.6,0.15432664108425742
94.7,0.1566911816522224
94.8,0.1592092078898436
94.9,0.16189531466564192
95,0.1647659236023882
95.1,0.16783956496621213
95.2,0.1711372107559389
95.3,0.17468266954578734
95.4,0.1785030558781467
95.5,0.1826293498850417
95.6,0.1870970663082301
95.7,0.1919470560727565
95.8,0.1972264684672032
95.9,0.20298990748012175
96,0.20930082143427128
96.1,0.21623317091605185
96.2,0.2238734232184569
96.3,0.23232292108748254
96.4,0.2417006618766955
96.5,0.2521464910034562
96.6,0.26382464199998923
96.7,0.2769274063603939
96.8,0.29167842988778503
96.9,0.30833459062973256
97,0.32718442000210657
97.1,0.3485392507459499
97.2,0.3727101858302555
97.3,0.3999588753429244
97.4,0.430402343334945
97.5,0.46384237800486877
97.6,0.49948362560870513
97.7,0.5355192431574214
97.8,0.5686393790349182
97.9,0.593712336072602
98,0.604183976658136
98.1,0.5938258127964509
98.2,0.5596919790128193
98.3,0.5045190265983505
98.4,0.436250642694273
98.5,0.36464243751018405
98.6,0.29760418190907983
98.7,0.2395701090477517
98.8,0.19188539417099265
98.9,0.15399101112592045
99,0.12448666793871392
99.1,0.10178888103089903
99.2,0.08444598278661192
99.3,0.07124680704193624
99.4,0.061228735617078034
99.5,0.05364613613467962
99.6,0.04792892246563213
99.7,0.04364362477052495
99.8,0.0404609729459758
99.9,0.03813040174588645
100,0.03646058121782672
