% Model,0d75h_27-solved.mph
% Version,COMSOL 5.6.0.280
% Date,"Apr 28 2021, 16:31"
% Table,Table 55 - Global Evaluation 6
% freq (Hz),1-abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
80,0.09407392224993326
80.1,0.09409246090727984
80.2,0.09411124124943816
80.3,0.09413026610912227
80.4,0.0941495383531578
80.5,0.09416906089665883
80.6,0.09418883669275324
80.7,0.09420886873762364
80.8,0.09422916007147165
80.9,0.09424971378121448
81,0.09427053299591612
81.1,0.09429162089267379
81.2,0.09431298069403365
81.3,0.09433461567266052
81.4,0.09435652914881049
81.5,0.09437872449234289
81.6,0.09440120512415186
81.7,0.09442397451714436
81.8,0.09444703619673118
81.9,0.09447039373929982
82,0.09449405078123262
82.1,0.09451801101003493
82.2,0.09454227817233314
82.3,0.09456685607163365
82.4,0.094591748571329
82.5,0.09461695959387434
82.6,0.094642493125096
82.7,0.09466835321057702
82.8,0.09469454396325347
82.9,0.0947210695578385
83,0.09474793423811136
83.1,0.09477514231247691
83.2,0.09480269816247619
83.3,0.09483060623668252
83.4,0.09485887105794506
83.5,0.0948874972202831
83.6,0.09491648939697542
83.7,0.09494585233175029
83.8,0.09497559085019222
83.9,0.09500570985684857
84,0.0950362143383437
84.1,0.09506710936229233
84.2,0.09509840008294905
84.3,0.09513009173995082
84.4,0.09516218966288523
84.5,0.09519469926927583
84.6,0.09522762606886992
84.7,0.09526097566937984
84.8,0.09529475376934708
84.9,0.09532896617094605
85,0.09536361877189942
85.1,0.0953987175766443
85.2,0.09543426868908765
85.3,0.09547027832614835
85.4,0.09550675281134707
85.5,0.0955436985802122
85.6,0.09558112218237111
85.7,0.09561903028426672
85.8,0.09565742967363106
85.9,0.0956963272589676
86,0.09573573007432817
86.1,0.09577564528232119
86.2,0.09581608017300541
86.3,0.09585704217416861
86.4,0.09589853884968916
86.5,0.09594057790249672
86.6,0.09598316717959471
86.7,0.0960263146731589
86.8,0.09607002852791165
86.9,0.09611431704077605
87,0.09615918866572713
87.1,0.09620465201830537
87.2,0.09625071587897199
87.3,0.09629738919780312
87.4,0.09634468109524996
87.5,0.09639260087121512
87.6,0.09644115800916155
87.7,0.09649036217186514
87.8,0.09654022321704626
87.9,0.0965907511998209
88,0.09664195636979035
88.1,0.09669384918678908
88.2,0.09674644031599706
88.3,0.09679974064079849
88.4,0.09685376126665265
88.5,0.09690851352316746
88.6,0.09696400897372437
88.7,0.09702025941952203
88.8,0.09707727690639571
88.9,0.09713507373108607
89,0.09719366244710254
89.1,0.09725305587301633
89.2,0.097313267097652
89.3,0.09737430949063201
89.4,0.09743619670394893
89.5,0.09749894268502235
89.6,0.09756256168147703
89.7,0.09762706825243245
89.8,0.0976924772714596
89.9,0.0977588039437377
90,0.09782606380390496
90.1,0.09789427273761023
90.2,0.09796344698121279
90.3,0.09803360313470744
90.4,0.09810475817729583
90.5,0.09817692946959532
90.6,0.09825013476853434
90.7,0.09832439224069119
90.8,0.0983997204694245
90.9,0.09847613847359395
91,0.09855366570983817
91.1,0.09863232209615859
91.2,0.09871212802168439
91.3,0.0987931043562218
91.4,0.09887527246958147
91.5,0.09895865424712347
91.6,0.09904327210134388
91.7,0.09912914898971474
91.8,0.09921630843251605
91.9,0.09930477452750575
92,0.09939457197191962
92.1,0.09948572607488561
92.2,0.09957826278289672
92.3,0.09967220869390743
92.4,0.09976759108389288
92.5,0.0998644379243292
92.6,0.09996277790238334
92.7,0.10006264045319369
92.8,0.10016405577202568
92.9,0.10026705484850443
93,0.10037166948783327
93.1,0.10047793233826464
93.2,0.10058587692210802
93.3,0.10069553765935464
93.4,0.10080694990449733
93.5,0.10092014997106603
93.6,0.10103517517249162
93.7,0.10115206384746678
93.8,0.1012708554048898
93.9,0.10139159035019758
94,0.10151431033463418
94.1,0.10163905818743167
94.2,0.10176587796220218
94.3,0.1018948149789943
94.4,0.10202591587071902
94.5,0.10215922862996997
94.6,0.10229480265604295
94.7,0.10243268881255754
94.8,0.1025729394774023
94.9,0.10271560860271028
95,0.10286075176532043
95.1,0.10300842623977907
95.2,0.10315869105428899
95.3,0.1033116070650861
95.4,0.10346723701831001
95.5,0.10362564563182522
95.6,0.10378689966880868
95.7,0.10395106801856828
95.8,0.10411822178214016
95.9,0.10428843435770364
96,0.10446178154226779
96.1,0.10463834161965467
96.2,0.10481819546661296
96.3,0.1050014266617392
96.4,0.1051881215950632
96.5,0.10537836958944151
96.6,0.10557226302404363
96.7,0.105769897461875
96.8,0.10597137179243009
96.9,0.1061767883718845
97,0.10638625317751345
97.1,0.106599875966929
97.2,0.10681777044586215
97.3,0.10704005444598114
97.4,0.10726685011637556
97.5,0.10749828411180018
97.6,0.10773448780810027
97.7,0.10797559752231459
97.8,0.10822175473628946
97.9,0.108473106351621
98,0.10872980494497578
98.1,0.10899200903647595
98.2,0.10925988338823771
98.3,0.10953359930740843
98.4,0.10981333496396527
98.5,0.11009927574780959
98.6,0.11039161462185439
98.7,0.1106905525140476
98.8,0.11099629872771036
98.9,0.11130907137439733
99,0.11162909784048813
99.1,0.11195661527365214
99.2,0.11229187111701484
99.3,0.11263512365238638
99.4,0.1129866426006425
99.5,0.11334670975721636
99.6,0.1137156196536632
99.7,0.11409368029675206
99.8,0.11448121391152902
99.9,0.11487855778148909
100,0.11528606511587845
