% Model,1165.mph
% Version,COMSOL 5.6.0.401
% Date,"Jun 2 2021, 00:22"
% Table,Table 52 - Global Evaluation 4
% freq (Hz),1-abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
80,0.0372897771449377
80.1,0.037302849155377474
80.2,0.03731594888942391
80.3,0.03732907648018542
80.4,0.0373422320612646
80.5,0.03735541576747773
80.6,0.03736862773522637
80.7,0.03738186810132686
80.8,0.03739513700472951
80.9,0.03740843458531501
81,0.03742176098382131
81.1,0.03743511634278511
81.2,0.03744850080587512
81.3,0.037461914517637265
81.4,0.037475357624463544
81.5,0.03748883027400327
81.6,0.03750233261526815
81.7,0.03751586479812102
81.8,0.03752942697418239
81.9,0.037543019296712735
82,0.037556641920339084
82.1,0.037570295000507674
82.2,0.03758397869502738
82.3,0.037597693162313664
82.4,0.037611438562480504
82.5,0.037625215058187965
82.6,0.03763902281192602
82.7,0.0376528619889473
82.8,0.03766673275569973
82.9,0.03768063527999179
83,0.037694569731712174
83.1,0.03770853628219112
83.2,0.03772253510427555
83.3,0.03773656637270214
83.4,0.03775063026355578
83.5,0.037764726954706264
83.6,0.03777885662633338
83.7,0.03779301945970502
83.8,0.03780721563821666
83.9,0.037821445346816016
84,0.037835708772479645
84.1,0.03785000610452237
84.2,0.03786433753303758
84.3,0.037878703250600144
84.4,0.03789310345193701
84.5,0.03790753833355071
84.6,0.03792200809385124
84.7,0.037936512933082533
84.8,0.037951053054222195
84.9,0.037965628661440994
85,0.037980239961344836
85.1,0.03799488716289849
85.2,0.03800957047713725
85.3,0.038024290117030554
85.4,0.038039046297661264
85.5,0.038053839236837805
85.6,0.03806866915436782
85.7,0.03808353627235511
85.8,0.03809844081514002
85.9,0.038113383009502205
86,0.038128363084658404
86.1,0.038143381272215615
86.2,0.0381584378061951
86.3,0.03817353292324529
86.4,0.03818866686249227
86.5,0.038203839865764866
86.6,0.0382190521768785
86.7,0.038234304043162914
86.8,0.03824959571386488
86.9,0.03826492744125546
87,0.03828029948075768
87.1,0.03829571208991825
87.2,0.0383111655292009
87.3,0.03832666006260966
87.4,0.03834219595600356
87.5,0.03835777347922833
87.6,0.03837339290454141
87.7,0.038389054507150085
87.8,0.038404758565428056
87.9,0.038420505361367145
88,0.038436295179326264
88.1,0.0384521283077628
88.2,0.0384680050376087
88.3,0.03848392566337128
88.4,0.03849989048336503
88.5,0.038515899798166275
88.6,0.03853195391313469
88.7,0.03854805313629859
88.8,0.03856419777954665
88.9,0.03858038815836548
89,0.03859662459170111
89.1,0.0386129074027236
89.2,0.0386292369176466
89.3,0.038645613467057395
89.4,0.0386620373852139
89.5,0.03867850901054945
89.6,0.038695028685214905
89.7,0.03871159675538005
89.8,0.03872821357198761
89.9,0.038744879489185036
90,0.03876159486627537
90.1,0.03877836006625387
90.2,0.03879517545651251
90.3,0.038812041409838814
90.4,0.0388289583023381
90.5,0.03884592651511654
90.6,0.03886294643434493
90.7,0.03888001845048522
90.8,0.03889714295896745
90.9,0.038914320360154034
91,0.0389315510591541
91.1,0.03894883546624451
91.2,0.038966173997056285
91.3,0.03898356707207839
91.4,0.039001015117453505
91.5,0.03901851856417736
91.6,0.039036077849052345
91.7,0.039053693414498804
91.8,0.03907136570831624
91.9,0.03908909518449408
92,0.03910688230177744
92.1,0.03912472752616162
92.2,0.0391426313289987
92.3,0.03916059418724478
92.4,0.039178616585147874
92.5,0.03919669901264678
92.6,0.03921484196583301
92.7,0.03923304594823862
92.8,0.03925131146876143
92.9,0.03926963904430036
93,0.039288029197506694
93.1,0.039306482458745594
93.2,0.039324999365129724
93.3,0.03934358046132027
93.4,0.03936222629875744
93.5,0.03938093743677135
93.6,0.0393997144421444
93.7,0.039418557889436386
93.8,0.03943746836066348
93.9,0.03945644644625049
94,0.03947549274475662
94.1,0.03949460786248355
94.2,0.03951379241483836
94.3,0.03953304702530814
94.4,0.039552372325794734
94.5,0.03957176895802486
94.6,0.03959123757173911
94.7,0.039610778826377396
94.8,0.039630393390473695
94.9,0.039650081942079765
95,0.03966984516916089
95.1,0.03968968376934144
95.2,0.03970959844979831
95.3,0.03972958992857603
95.4,0.039749658933973926
95.5,0.03976980620480416
95.6,0.03979003249037671
95.7,0.039810338550878795
95.8,0.03983072515852004
95.9,0.039851193095886674
96,0.039871743157558474
96.1,0.03989237615014705
96.2,0.03991309289157692
96.3,0.03993389421270031
96.4,0.03995478095669865
96.5,0.03997575397894732
96.6,0.03999681414841737
96.7,0.040017962347049484
96.8,0.04003919947000559
96.9,0.04006052642629962
97,0.04008194413892494
97.1,0.04010345354547845
97.2,0.04012505559706202
97.3,0.040146751260637444
97.4,0.040168541517760815
97.5,0.04019042736505279
97.6,0.040212409815359416
97.7,0.04023448989752661
97.8,0.0402566686563693
97.9,0.040278947153148864
98,0.04030132646679095
98.1,0.040323807693098214
98.2,0.040346391945119436
98.3,0.04036908035480699
98.4,0.04039187407189989
98.5,0.040414774264952776
98.6,0.04043778212183162
98.7,0.04046089884951163
98.8,0.04048412567547368
98.9,0.04050746384740202
99,0.040530914633230636
99.1,0.04055447932267337
99.2,0.04057815922683639
99.3,0.04060195567895103
99.4,0.04062587003499437
99.5,0.0406499036741316
99.6,0.040674057997959784
99.7,0.04069833443350762
99.8,0.04072273443200573
99.9,0.040747259469346965
100,0.04077191104707665
