% Model,1169_solved.mph
% Version,COMSOL 5.6.0.401
% Date,"Jun 1 2021, 22:40"
% Table,Table 52 - Global Evaluation 4
% freq (Hz),1-abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
80,0.03727358700653006
80.1,0.03728657327281399
80.2,0.0372995867190846
80.3,0.0373126274740354
80.4,0.037325695666525764
80.5,0.0373387914270751
80.6,0.037351914886425926
80.7,0.03736506617786507
80.8,0.03737824543433644
80.9,0.03739145279122945
81,0.03740468838458594
81.1,0.03741795235139376
81.2,0.03743124483018288
81.3,0.03744456596115299
81.4,0.03745791588459441
81.5,0.03747129474339213
81.6,0.037484702680883414
81.7,0.03749813984171523
81.8,0.037511606372494
81.9,0.03752510242022706
82,0.03753862813434824
82.1,0.0375521836646041
82.2,0.03756576916301715
82.3,0.037579384782228165
82.4,0.037593030677245405
82.5,0.03760670700365448
82.6,0.03762041391868179
82.7,0.03763415158123759
82.8,0.03764792015204435
82.9,0.03766171979253761
83,0.03767555066615063
83.1,0.037689412938107215
83.2,0.03770330677477835
83.3,0.03771723234456493
83.4,0.03773118981653738
83.5,0.037745179362561304
83.6,0.03775920115586917
83.7,0.037773255370817556
83.8,0.03778734218418553
83.9,0.0378014617737695
84,0.03781561431951127
84.1,0.03782980000339474
84.2,0.037844019008634024
84.3,0.03785827152066925
84.4,0.03787255772656722
84.5,0.037886877815332905
84.6,0.037901231977945385
84.7,0.037915620407032766
84.8,0.03793004329745765
84.9,0.037944500845997126
85,0.037958993251248366
85.1,0.037973520714130224
85.2,0.03798808343711383
85.3,0.038002681625365756
85.4,0.03801731548568255
85.5,0.0380319852271342
85.6,0.038046691061159994
85.7,0.038061433200988454
85.8,0.038076211862524016
85.9,0.03809102726358624
86,0.038105879624102695
86.1,0.03812076916680176
86.2,0.03813569611675823
86.3,0.0381506607008962
86.4,0.03816566314909691
86.5,0.03818070369318313
86.6,0.03819578256766897
86.7,0.038210900010066995
86.8,0.03822605625948584
86.9,0.03824125155839119
87,0.03825648615166672
87.1,0.03827176028643223
87.2,0.03828707421327016
87.3,0.03830242818476392
87.4,0.038317822456830276
87.5,0.03833325728760227
87.6,0.03834873293864411
87.7,0.038364249674095505
87.8,0.03837980776100661
87.9,0.038395407469586466
88,0.038411049072800074
88.1,0.03842673284719982
88.2,0.03844245907155695
88.3,0.038458228028439914
88.4,0.03847404000384202
88.5,0.03848989528566684
88.6,0.03850579416692462
88.7,0.03852173694297916
88.8,0.03853772391244908
88.9,0.038553755377566924
89,0.038569831644364845
89.1,0.03858595302175249
89.2,0.038602119822896776
89.3,0.03861833236422896
89.4,0.03863459096595317
89.5,0.03865089595208241
89.6,0.0386672476504229
89.7,0.03868364639236128
89.8,0.03870009251373359
89.9,0.03871658635380191
90,0.038733128256487746
90.1,0.03874971856902714
90.2,0.03876635764357817
90.3,0.038783045836349846
90.4,0.03879978350704631
90.5,0.038816571021012485
90.6,0.038833408747104094
90.7,0.03885029705908416
90.8,0.03886723633487682
90.9,0.038884226957663484
91,0.038901269314670035
91.1,0.03891836379844747
91.2,0.03893551080598519
91.3,0.038952710739640434
91.4,0.03896996400649021
91.5,0.03898727101836222
91.6,0.03900463219294873
91.7,0.03902204795292747
91.8,0.03903951872597917
91.9,0.03905704494604456
92,0.03907462705118652
92.1,0.03909226548686248
92.2,0.039109960702496456
92.3,0.039127713154031366
92.4,0.039145523303976006
92.5,0.03916339161958206
92.6,0.039181318574793615
92.7,0.03919930464982393
92.8,0.03921735033108789
92.9,0.03923545611078709
93,0.03925362248837218
93.1,0.03927184996988037
93.2,0.0392901390675601
93.3,0.039308490300271254
93.4,0.039326904195036434
93.5,0.03934538128422169
93.6,0.039363922108713235
93.7,0.03938252721613255
93.8,0.039401197161330635
93.9,0.03941993250713777
94,0.03943873382391822
94.1,0.039457601689254704
94.2,0.039476536689669
94.3,0.03949553941894102
94.4,0.03951461047937413
94.5,0.039533750481442316
94.6,0.03955296004447777
94.7,0.03957223979609903
94.8,0.03959159037295516
94.9,0.039611012420304785
95,0.03963050659302626
95.1,0.03965007355484361
95.2,0.03966971397861506
95.3,0.039689428548178134
95.4,0.039709217955498456
95.5,0.03972908290360154
95.6,0.039749024104873805
95.7,0.0397690422826692
95.8,0.03978913817065814
95.9,0.039809312513190004
96,0.03982956606499635
96.1,0.03984989959288606
96.2,0.039870313874099554
96.3,0.0398908096983195
96.4,0.039911387865721064
96.5,0.039932049189347917
96.6,0.03995279449406043
96.7,0.03997362461759342
96.8,0.039994540409498784
96.9,0.04001554273290585
97,0.04003663246360969
97.1,0.04005781049119408
97.2,0.0400790777186193
97.3,0.04010043506267794
97.4,0.04012188345405618
97.5,0.04014342383897148
97.6,0.04016505717703241
97.7,0.04018678444357153
97.8,0.04020860662917485
97.9,0.04023052473989043
98,0.04025253979758585
98.1,0.04027465284070615
98.2,0.040296864923864764
98.3,0.04031917711883576
98.4,0.040341590514357366
98.5,0.04036410621702413
98.6,0.04038672535097385
98.7,0.0404094490590483
98.8,0.040432278502690475
98.9,0.04045521486219209
99,0.040478259336857086
99.1,0.04050141314698943
99.2,0.04052467753211887
99.3,0.04054805375290818
99.4,0.04057154309113412
99.5,0.04059514684984254
99.6,0.04061886635442308
99.7,0.04064270295238605
99.8,0.04066665801486894
99.9,0.04069073293543354
100,0.04071492913215957
