% Model,310_solved.mph
% Version,COMSOL 5.6.0.280
% Date,"Apr 23 2021, 20:11"
% Table,Table 55 - Global Evaluation 6
% freq (Hz),1-abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
80,0.03746671298676619
80.1,0.037481749189090544
80.2,0.037496836851506704
80.3,0.03751197644200033
80.4,0.03752716843497905
80.5,0.03754241331249234
80.6,0.03755771156299079
80.7,0.03757306368247637
80.8,0.03758847017449003
80.9,0.037603931549642096
81,0.03761944832659237
81.1,0.03763502103152042
81.2,0.03765065019849431
81.3,0.03766633637013219
81.4,0.03768208009645567
81.5,0.03769788193686027
81.6,0.03771374245844878
81.7,0.03772966223771071
81.8,0.03774564185952176
81.9,0.037761681918474906
82,0.03777778301773224
82.1,0.03779394577031177
82.2,0.03781017079883046
82.3,0.037826458735809636
82.4,0.0378428102234531
82.5,0.037859225914342924
82.6,0.03787570647159237
82.7,0.0378922525690796
82.8,0.03790886489141101
82.9,0.03792554413418631
83,0.03794229100423164
83.1,0.03795910622077273
83.2,0.037975990513273106
83.3,0.03799294462467835
83.4,0.03800996930975992
83.5,0.038027065335090565
83.6,0.03804423348116265
83.7,0.03806147454110402
83.8,0.038078789321335016
83.9,0.038096178642033435
84,0.03811364333710417
84.1,0.038131184254823765
84.2,0.03814880225825726
84.3,0.03816649822478605
84.4,0.038184273047628975
84.5,0.03820212763504321
84.6,0.03822006291146873
84.7,0.03823807981704506
84.8,0.03825617930899993
84.9,0.038274362361375686
85,0.0382926299657699
85.1,0.038310983130483
85.2,0.03832942288332502
85.3,0.03834795026992135
85.4,0.038366566354199376
85.5,0.0383852722207002
85.6,0.038404068973093626
85.7,0.038422957735489954
85.8,0.0384419396527706
85.9,0.038461015890576204
86,0.03848018763723577
86.1,0.03849945610249969
86.2,0.038518822519085914
86.3,0.03853828814317944
86.4,0.038557854254757495
86.5,0.038577522158201503
86.6,0.038597293182746864
86.7,0.03861716868352566
86.8,0.03863715004210052
86.9,0.038657238666395415
87,0.0386774359919442
87.1,0.03869774348324279
87.2,0.03871816263265106
87.3,0.03873869496290763
87.4,0.03875934202727322
87.5,0.03878010540947893
87.6,0.038800986725679956
87.7,0.03882198762471462
87.8,0.038843109788715656
87.9,0.03886435493507206
88,0.038885724815466274
88.1,0.03890722121871656
88.2,0.038928845970586164
88.3,0.03895060093448391
88.4,0.03897248801381173
88.5,0.038994509151715866
88.6,0.039016666332646756
88.7,0.039038961583722595
88.8,0.039061396975560686
88.9,0.03908397462339302
89,0.039106696688091046
89.1,0.039129565378202384
89.2,0.03915258295085336
89.3,0.039175751712110636
89.4,0.039199074020035946
89.5,0.03922255228548986
89.6,0.03924618897283158
89.7,0.03926998660246189
89.8,0.03929394775191308
89.9,0.039318075057360534
90,0.03934237121598876
90.1,0.039366838986838355
90.2,0.03939148119362507
90.3,0.03941630072537208
90.4,0.039441300539534783
90.5,0.03946648366316338
90.6,0.03949185319582811
90.7,0.03951741231061085
90.8,0.03954316425764669
90.9,0.039569112365465973
91,0.0395952600435768
91.1,0.039621610785535354
91.2,0.03964816817053009
91.3,0.039674935867495445
91.4,0.03970191763588677
91.5,0.039729117330350304
91.6,0.03975653890329476
91.7,0.03978418640655859
91.8,0.03981206399729494
91.9,0.039840175939254124
92,0.03986852660636031
92.1,0.03989712048747759
92.2,0.03992596218866661
92.3,0.03995505643892879
92.4,0.039984408092622284
92.5,0.040014022134598176
92.6,0.040043903683923215
92.7,0.040074057999212716
92.8,0.04010449048258437
92.9,0.04013520668543091
93,0.040166212313205635
93.1,0.040197513230620416
93.2,0.04022911546717633
93.3,0.040261025223514164
93.4,0.040293248877181484
93.5,0.040325792989312596
93.6,0.04035866430985071
93.7,0.040391869786987625
93.8,0.04042541657236922
93.9,0.04045931202889481
94,0.040493563739606685
94.1,0.04052817951484507
94.2,0.040563167400865234
94.3,0.04059853569032225
94.4,0.04063429292953418
94.5,0.04067044792993114
94.6,0.04070700977725938
94.7,0.04074398784358014
94.8,0.04078139179773992
94.9,0.040819231616579486
95,0.04085751759942401
95.1,0.04089626037838086
95.2,0.04093547093450178
95.3,0.04097516061024336
95.4,0.04101534112601706
95.5,0.04105602459418148
95.6,0.04109722353758862
95.7,0.0411389509055725
95.8,0.041181220092526
95.9,0.041224044958300954
96,0.04126743984636547
96.1,0.041311419607495736
96.2,0.041355999620491156
96.3,0.04140119581699461
96.4,0.04144702470544112
96.5,0.041493503398211104
96.6,0.041540649639362076
96.7,0.041588481833769994
96.8,0.04163701907757613
96.9,0.04168628119214339
97,0.041736288757737786
97.1,0.04178706315045192
97.2,0.04183862658069702
97.3,0.041891002135159956
97.4,0.04194421381866624
97.5,0.04199828660166291
97.6,0.04205324646893656
97.7,0.04210912047032437
97.8,0.04216593677790826
97.9,0.04222372474219864
98,0.042282514955832275
98.1,0.04234233931909967
98.2,0.04240323111125265
98.3,0.04246522506517801
98.4,0.04252835744615295
98.5,0.04259266613949591
98.6,0.04265819073955049
98.7,0.04272497264812621
98.8,0.042793055178602595
98.9,0.042862483666401614
99,0.042933305588481484
99.1,0.043005570690701815
99.2,0.04307933112530174
99.3,0.043154641596246185
99.4,0.043231559518647746
99.5,0.043310145185997975
99.6,0.04339046195474636
99.7,0.043472576437919304
99.8,0.0435565587191281
99.9,0.043642482578141135
100,0.04373042573831219
