% Model,0d65h_solved_344.mph
% Version,COMSOL 5.6.0.280
% Date,"Apr 28 2021, 12:50"
% Table,Table 55 - Global Evaluation 6
% freq (Hz),1-abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
80,0.03730911890133309
80.1,0.03732312246372598
80.2,0.037337166517281466
80.3,0.037351251360126535
80.4,0.0373653772931333
80.5,0.037379544620849046
80.6,0.03739375365185999
80.7,0.03740800469841369
80.8,0.03742229807671421
80.9,0.03743663410632391
81,0.03745101311184403
81.1,0.03746543542092723
81.2,0.03747990136580498
81.3,0.03749441128306558
81.4,0.03750896551292243
81.5,0.03752356440057674
81.6,0.03753820829530623
81.7,0.03755289755070379
81.8,0.037567632524992914
81.9,0.03758241358131748
82,0.037597241087289644
82.1,0.03761211541484316
82.2,0.03762703694173247
82.3,0.03764200604968467
82.4,0.037657023126234604
82.5,0.03767208856305298
82.6,0.03768720275805213
82.7,0.03770236611359589
82.8,0.037717579037836
82.9,0.0377328419443141
83,0.03774815525207256
83.1,0.03776351938585643
83.2,0.037778934775909996
83.3,0.03779440185869816
83.4,0.037809921076169706
83.5,0.03782549287659786
83.6,0.037841117714664835
83.7,0.03785679605054841
83.8,0.03787252835140563
83.9,0.037888315091038245
84,0.03790415674902013
84.1,0.03792005381269447
84.2,0.03793600677513067
84.3,0.03795201613721288
84.4,0.037968082406799684
84.5,0.03798420609816762
84.6,0.038000387733799317
84.7,0.03801662784366633
84.8,0.03803292696452245
84.9,0.038049285641918826
85,0.0380657044283901
85.1,0.03808218388473993
85.2,0.03809872458058501
85.3,0.038115327092994054
85.4,0.03813199200827794
85.5,0.03814871992053777
85.6,0.038165511433551055
85.7,0.03818236715941892
85.8,0.03819928772015289
85.9,0.038216273746058516
86,0.038233325877840244
86.1,0.03825044476544326
86.2,0.03826763106844089
86.3,0.038284885457136375
86.4,0.03830220861184235
86.5,0.03831960122285291
86.6,0.03833706399177378
86.7,0.038354597630134886
86.8,0.038372202861924685
86.9,0.038389880421063505
87,0.038407631053898154
87.1,0.03842545551809884
87.2,0.03844335458347816
87.3,0.038461329031843794
87.4,0.03847937965762397
87.5,0.038497507268031965
87.6,0.03851571268317395
87.7,0.038533996736143286
87.8,0.03855236027415295
87.9,0.03857080415740238
88,0.03858932926057846
88.1,0.03860793647304394
88.2,0.03862662669818367
88.3,0.038645400854750836
88.4,0.03866425987648814
88.5,0.038683204712983504
88.6,0.0387022363293624
88.7,0.03872135570759637
88.8,0.03874056384561675
88.9,0.0387598617589097
89,0.03877925047981813
89.1,0.03879873105840955
89.2,0.03881830456327093
89.3,0.0388379720804358
89.4,0.038857734716411435
89.5,0.03887759359545972
89.6,0.03889754986226974
89.7,0.03891760468133307
89.8,0.03893775923809079
89.9,0.038958014738971876
90,0.03897837241162074
90.1,0.03899883350587903
90.2,0.039019399293941874
90.3,0.039040071071388294
90.4,0.039060850156697836
90.5,0.03908173789285393
90.6,0.03910273564756959
90.7,0.039123844813296005
90.8,0.03914506680854709
90.9,0.03916640307821284
91,0.03918785509375711
91.1,0.03920942435467088
91.2,0.03923111238903837
91.3,0.03925292075289139
91.4,0.03927485103306397
91.5,0.03929690484566877
91.6,0.0393190838387217
91.7,0.03934138969106016
91.8,0.039363824115498165
91.9,0.03938638885703681
92,0.03940908569564742
92.1,0.039431916445457627
92.2,0.039454882957955344
92.3,0.03947798711986441
92.4,0.03950123085677766
92.5,0.039524616132205675
92.6,0.03954814494998632
92.7,0.039571819354153
92.8,0.039595641430775305
92.9,0.039619613308355
93,0.03964373715945075
93.1,0.03966801520189856
93.2,0.03969244969914831
93.3,0.0397170429624176
93.4,0.039741797351754676
93.5,0.03976671527664736
93.6,0.03979179919820745
93.7,0.03981705163024597
93.8,0.03984247514021231
93.9,0.039868072351044524
94,0.03989384594380973
94.1,0.03991979865649792
94.2,0.03994593328843604
94.3,0.03997225270019009
94.4,0.039998759816442735
94.5,0.0400254576268101
94.6,0.04005234918811551
94.7,0.040079437626215825
94.8,0.040106726138551485
94.9,0.04013421799455304
95,0.04016191653988644
95.1,0.04018982519698233
95.2,0.0402179474678395
95.3,0.04024628693634987
95.4,0.04027484727121551
95.5,0.04030363222720411
95.6,0.04033264564877342
95.7,0.04036189147254596
95.8,0.04039137373000929
95.9,0.04042109654988422
96,0.04045106416207232
96.1,0.04048128090016548
96.2,0.04051175120407152
96.3,0.040542479624951326
96.4,0.0405734708268476
96.5,0.04060472959128978
96.6,0.04063626082113634
96.7,0.040668069543783554
96.8,0.04070016091519289
96.9,0.04073254022487697
97,0.040765212898815455
97.1,0.04079818450581408
97.2,0.040831460760422544
97.3,0.04086504752743105
97.4,0.04089895083025229
97.5,0.0409331768516539
97.6,0.0409677319424992
97.7,0.041002622625981436
97.8,0.04103785560355593
97.9,0.04107343776136242
98,0.04110937617697928
98.1,0.041145678125019874
98.2,0.04118235108539122
98.3,0.041219402749304954
98.4,0.04125684102784221
98.5,0.04129467405878347
98.6,0.041332910215900846
98.7,0.04137155811682709
98.8,0.041410626631968435
98.9,0.0414501248940718
99,0.041490062308562885
99.1,0.04153044856234364
99.2,0.04157129363511784
99.3,0.04161260781119982
99.4,0.04165440169017312
99.5,0.04169668619969045
99.6,0.04173947260798704
99.7,0.04178277253697615
99.8,0.04182659797646876
99.9,0.041870961298886976
100,0.04191587527471088
