% Model,30v19_solved.mph
% Version,COMSOL 5.6.0.280
% Date,"Apr 11 2021, 22:48"
% Table,Table 55 - Global Evaluation 6
% freq (Hz),1-abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
80,0.037690727105607565
80.1,0.03770985217388236
80.2,0.037729106324213404
80.3,0.037748491785055294
80.4,0.037768010839741295
80.5,0.03778766582981169
80.6,0.037807459154723874
80.7,0.03782739327563809
80.8,0.03784747071644282
80.9,0.03786769406567912
81,0.03788806597936297
81.1,0.0379085891825543
81.2,0.03792926647144285
81.3,0.03795010071676378
81.4,0.03797109486504417
81.5,0.037992251941992156
81.6,0.03801357505441932
81.7,0.03803506739406628
81.8,0.03805673223906375
81.9,0.03807857295867663
82,0.03810059301507269
82.1,0.038122795966774745
82.2,0.03814518547252124
82.3,0.038167765294602994
82.4,0.0381905393027289
82.5,0.03821351147704456
82.6,0.0382366859131047
82.7,0.038260066826427575
82.8,0.03828365855517423
82.9,0.03830746556632577
83,0.0383314924594842
83.1,0.03835574397307532
83.2,0.0383802249876269
83.3,0.03840494053316874
83.4,0.0384298957938199
83.5,0.038455096113954354
83.6,0.0384805470050663
83.7,0.03850625415140881
83.8,0.03853222341710888
83.9,0.038558460854031314
84,0.03858497270799661
84.1,0.03861176542854164
84.2,0.03863884567556914
84.3,0.03866622032794828
84.4,0.038693896494632056
84.5,0.03872188152180377
84.6,0.038750183004755016
84.7,0.0387788087973288
84.8,0.038807767023898924
84.9,0.03883706609050532
85,0.03886671469724411
85.1,0.03889672185143269
85.2,0.03892709688139169
85.3,0.03895784945076014
85.4,0.03898898957304395
85.5,0.03902052762894558
85.6,0.03905247438194556
85.7,0.03908484099720816
85.8,0.03911763905949926
85.9,0.0391508805939667
86,0.039184578086841074
86.1,0.03921874450736376
86.2,0.03925339333219114
86.3,0.03928853856998158
86.4,0.03932419478723485
86.5,0.03936037713800218
86.6,0.039397101392010185
86.7,0.039434383967584426
86.8,0.0394722419636009
86.9,0.03951069319738061
87,0.03954975624115871
87.1,0.039589450462632306
87.2,0.0396297960686071
87.3,0.03967081415015474
87.4,0.039712526732012275
87.5,0.03975495682468438
87.6,0.03979812847978646
87.7,0.03984206684951152
87.8,0.03988679825126718
87.9,0.03993235023433111
88,0.039978751653784346
88.1,0.040026032748580416
88.2,0.0400742252241984
88.3,0.040123362344561236
88.4,0.04017347902712277
88.5,0.0402246119473959
88.6,0.04027679965116332
88.7,0.04033008267431024
88.8,0.04038450367312702
88.9,0.040440107564725825
89,0.04049694167846608
89.1,0.0405550559190719
89.2,0.04061450294506866
89.3,0.04067533836059261
89.4,0.04073762092323219
89.5,0.04080141277142951
89.6,0.04086677966976352
89.7,0.0409337912770323
89.8,0.04100252143938127
89.9,0.04107304850679322
90,0.041145455682926345
90.1,0.04121983140552099
90.2,0.04129626976281292
90.3,0.04137487095164403
90.4,0.041455741780470436
90.5,0.04153899622189762
90.6,0.04162475602205643
90.7,0.04171315137330043
90.8,0.04180432165786598
90.9,0.041898416269191205
91,0.04199559552715557
91.1,0.04209603169065812
91.2,0.04219991008736233
91.3,0.042307430373566476
91.4,0.04241880793924505
91.5,0.0425342754873623
91.6,0.0426540848001592
91.7,0.04277850873000402
91.8,0.0429078434411365
91.9,0.04304241094480255
92,0.04318256197074443
92.1,0.0433286792278964
92.2,0.04348118111946144
92.3,0.04364052598504491
92.4,0.04380721696054263
92.5,0.04398180756214377
92.6,0.04416490812516951
92.7,0.04435719324669409
92.8,0.044559410429689326
92.9,0.0447723901541183
93,0.04499705764962384
93.1,0.045234446730410945
93.2,0.04548571610631238
93.3,0.04575216871366848
93.4,0.046035274723427826
93.5,0.04633669908394364
93.6,0.04665833464447943
93.7,0.04700234223866012
93.8,0.04737119948190143
93.9,0.04776776054108228
94,0.04819532988552738
94.1,0.0486577539226129
94.2,0.04915953578394069
94.3,0.04970598030774894
94.4,0.05030337886311391
94.5,0.05095924724950223
94.6,0.051682635240026614
94.7,0.052484533957257586
94.8,0.05337841885434399
94.9,0.05438098342437941
95,0.055513145758321246
95.1,0.05680145265456531
95.2,0.05828007482940465
95.3,0.05999370115988202
95.4,0.06200183522543578
95.5,0.06438534234270928
95.6,0.06725672653580554
95.7,0.07077682137166408
95.8,0.07518298877116343
95.9,0.08083901258407697
96,0.08832834660539543
96.1,0.0986402425019802
96.2,0.11357230854072756
96.3,0.13669192715998174
96.4,0.17593276721090503
96.5,0.25170136943549315
96.6,0.4248656236996999
96.7,0.8229369893415511
96.8,0.7525380281016177
96.9,0.2540783093505758
97,0.09735155435220523
97.1,0.049819012825389676
97.2,0.03269060782274813
97.3,0.025870927038874933
97.4,0.023131509560260544
97.5,0.02218253342299607
97.6,0.022070059118916987
97.7,0.022359138883568032
97.8,0.022838225668058227
97.9,0.023399760156115435
98,0.023987586148964
98.1,0.02457215366585364
98.2,0.02513816537113245
98.3,0.025678143508430607
98.4,0.026188958624468756
98.5,0.02666990309071936
98.6,0.027121598915035447
98.7,0.02754536935133907
98.8,0.0279428745647304
98.9,0.028315900534296303
99,0.02866623819355216
99.1,0.02899561622535122
99.2,0.029305665936475888
99.3,0.029597905259608818
99.4,0.029873734068465937
99.5,0.030134436031568703
99.6,0.030381184081739395
99.7,0.03061504772417707
99.8,0.030837001103185473
99.9,0.031047931180224288
100,0.03124864565714329
