% Model,30v2.mph
% Version,COMSOL 5.6.0.280
% Date,"Apr 14 2021, 19:59"
% Table,Table 55 - Global Evaluation 6
% freq (Hz),1-abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
80,0.03783132367451538
80.1,0.03785252376511034
80.2,0.03787389547785955
80.3,0.03789544218783275
80.4,0.03791716736410503
80.5,0.03793907457311247
80.6,0.03796116748203871
80.7,0.03798344986301208
80.8,0.03800592559574294
80.9,0.03802859867210915
81,0.038051473200820564
81.1,0.03807455341063759
81.2,0.03809784365521908
81.3,0.03812134841806756
81.4,0.03814507231651621
81.5,0.038169020108470605
81.6,0.03819319669581454
81.7,0.0382176071310537
81.8,0.038242256622963364
81.9,0.03826715054276664
82,0.038292294430139984
82.1,0.03831769400017319
82.2,0.03834335515099426
82.3,0.03836928396913448
82.4,0.038395486739434465
82.5,0.03842196995222454
82.6,0.03844874031133213
82.7,0.0384758047436057
82.8,0.03850317040823605
82.9,0.038530844706138496
83,0.03855883529038297
83.1,0.03858715007792599
83.2,0.038615797259318685
83.3,0.0386447853120241
83.4,0.038674123012948924
83.5,0.03870381945076294
83.6,0.038733884041786536
83.7,0.03876432654258694
83.8,0.038795157067183686
83.9,0.03882638610286674
84,0.03885802452745726
84.1,0.03889008362837471
84.2,0.03892257512082523
84.3,0.038955511169947804
84.4,0.038988904411384716
84.5,0.039022767973961196
84.6,0.039057115505232914
84.7,0.039091961196367195
84.8,0.039127319809750594
84.9,0.0391632067077366
85,0.03919963788467229
85.1,0.03923662999722088
85.2,0.03927420040196109
85.3,0.039312367190046785
85.4,0.039351149227330524
85.5,0.0393905661970874
85.6,0.039430638643492506
85.7,0.03947138801998315
85.8,0.03951283673873746
85.9,0.039555008226848716
86,0.03959792698273238
86.1,0.03964161863882655
86.2,0.03968611002711831
86.3,0.03973142925133419
86.4,0.039777605761752426
86.5,0.03982467043748117
86.6,0.039872655673110886
86.7,0.03992159547480656
86.8,0.03997152555898297
86.9,0.04002248346322919
87,0.040074508662142704
87.1,0.04012764269520627
87.2,0.04018192930121417
87.3,0.04023741456800022
87.4,0.04029414709049093
87.5,0.04035217814321385
87.6,0.04041156186817788
87.7,0.04047235547686206
87.8,0.04053461947094953
87.9,0.04059841788194576
88,0.04066381853113889
88.1,0.040730893314147046
88.2,0.040799718511503234
88.3,0.04087037512600258
88.4,0.04094294925449371
88.5,0.041017532492549254
88.6,0.041094222380497016
88.7,0.04117312289176732
88.8,0.04125434497129017
88.9,0.041338007128154705
89,0.04142423608992348
89.1,0.04151316752496831
89.2,0.04160494684370442
89.3,0.041699730086536116
89.4,0.04179768491013059
89.5,0.04189899168571094
89.6,0.04200384472309808
89.7,0.04211245364095091
89.8,0.04222504489867846
89.9,0.04234186351670978
90,0.042463175011155464
90.1,0.04258926757544747
90.2,0.042720454545027105
90.3,0.04285707718820853
90.4,0.04299950787960054
90.5,0.04314815371117709
90.6,0.04330346061839554
90.7,0.04346591810382134
90.8,0.04363606466955827
90.9,0.04381449407530588
91,0.04400186257718404
91.1,0.04419889733287724
91.2,0.0444064061918822
91.3,0.04462528914443359
91.4,0.044856551770634044
91.5,0.045101321102610545
91.6,0.04536086441788631
91.7,0.04563661161159246
91.8,0.04593018197522407
91.9,0.046243416403540745
92,0.04657841637193164
92.1,0.046937591380038106
92.2,0.04732371707820867
92.3,0.04774000697802004
92.4,0.04819020157140266
92.5,0.04867867996074199
92.6,0.049210600875021195
92.7,0.04979208243849985
92.8,0.050430433605808095
92.9,0.05113445531368108
93,0.05191483688626519
93.1,0.05278468447203713
93.2,0.05376023526441792
93.3,0.05486183756005852
93.4,0.05611531829933928
93.5,0.057553927008050454
93.6,0.05922115687675342
93.7,0.06117493484199427
93.8,0.06349401035809601
93.9,0.06628799160017436
94,0.06971366074467787
94.1,0.07400257074718883
94.2,0.07950994719414833
94.3,0.0868062603101702
94.4,0.09686047811428844
94.5,0.11143780111722787
94.6,0.13405431160435008
94.7,0.17257462255515715
94.8,0.2474215371993935
94.9,0.42054799564799566
95,0.8239234663950964
95.1,0.7270079979314391
95.2,0.23819308020348123
95.3,0.09116334366110966
95.4,0.04708223024233875
95.5,0.03133673982206033
95.6,0.025154554645281706
95.7,0.022740725404318717
95.8,0.021970234621369086
95.9,0.02196030589585645
96,0.02230994950062397
96.1,0.02282514206033798
96.2,0.023407946544951232
96.3,0.024007761082570026
96.4,0.024598374949228625
96.5,0.02516656654955389
96.6,0.025706184474948664
96.7,0.02621496623215926
96.8,0.026692781504367213
96.9,0.027140642516704852
97,0.027560139346032016
97.1,0.027953116143230126
97.2,0.02832148638582648
97.3,0.028667129489900207
97.4,0.02899183536597884
97.5,0.029297277338584313
97.6,0.02958500171639212
97.7,0.029856427014592225
97.8,0.030112848567586007
97.9,0.03035544597207378
98,0.03058529181537462
98.1,0.03080336076901178
98.2,0.03101053851562144
98.3,0.03120763021888482
98.4,0.03139536838698329
98.5,0.03157442007771687
98.6,0.0317453934307586
98.7,0.03190884355995923
98.8,0.03206527784572947
98.9,0.03221516067021514
99,0.032358917655316025
99.1,0.03249693944457193
99.2,0.03262958508303269
99.3,0.0327571850340598
99.4,0.03288004387670764
99.5,0.03299844271498435
99.6,0.03311264133610909
99.7,0.03322288014317812
99.8,0.03332938188816089
99.9,0.03343235322847149
100,0.03353198612514396
