% Model,30d75h-100.mph
% Version,COMSOL 5.6.0.280
% Date,"Apr 21 2021, 00:11"
% Table,Table 55 - Global Evaluation 6
% freq (Hz),1-abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
80,0.12014327978100958
80.1,0.12027418286823606
80.2,0.12040606372615321
80.3,0.12053893775625296
80.4,0.12067282069435058
80.5,0.12080772862949679
80.6,0.12094367800898603
80.7,0.12108068564500447
80.8,0.12121876873273216
80.9,0.12135794485495177
81,0.12149823199454741
81.1,0.12163964854993047
81.2,0.12178221333599357
81.3,0.1219259456151189
81.4,0.12207086508480833
81.5,0.12221699191527369
81.6,0.12236434674732415
81.7,0.12251295071072854
81.8,0.1226628254415029
81.9,0.12281399309202977
82,0.12296647635155179
82.1,0.1231202984579592
82.2,0.12327548321766371
82.3,0.12343205502116912
82.4,0.12359003886224687
82.5,0.12374946035516339
82.6,0.12391034575571316
82.7,0.12407272198034998
82.8,0.12423661662547085
82.9,0.1244020579934734
83,0.12456907511019813
83.1,0.12473769775117224
83.2,0.12490795646385834
83.3,0.1250798825952922
83.4,0.1252535083169341
83.5,0.12542886665146208
83.6,0.12560599150063131
83.7,0.1257849176749806
83.8,0.12596568092798446
83.9,0.1261483179778919
84,0.1263328665568103
84.1,0.12651936542578243
84.2,0.12670785442858687
84.3,0.12689837451632854
84.4,0.127090967792939
84.5,0.12728567755318443
84.6,0.12748254832737788
84.7,0.12768162592256033
84.8,0.1278829574665748
84.9,0.12808659146485776
85,0.128292577839922
85.1,0.12850096799050723
85.2,0.1287118148451793
85.3,0.1289251729138111
85.4,0.1291410983549671
85.5,0.12935964903555744
85.6,0.12958088459067063
85.7,0.12980486649929707
85.8,0.13003165815182782
85.9,0.13026132492383108
86,0.13049393425491282
86.1,0.13072955573330636
86.2,0.13096826117693264
86.3,0.13121012472399912
86.4,0.1314552229306711
86.5,0.13170363486529066
86.6,0.13195544221700642
86.7,0.13221072939754958
86.8,0.13246958366150852
86.9,0.1327320952247859
87,0.13299835738659485
87.1,0.13326846666794645
87.2,0.1335425229470122
87.3,0.1338206296066651
87.4,0.13410289368857006
87.5,0.13438942605680618
87.6,0.13468034156603614
87.7,0.13497575924802221
87.8,0.13527580249284982
87.9,0.13558059925433044
88,0.13589028226839153
88.1,0.13620498926258454
88.2,0.13652486320446613
88.3,0.13685005254274127
88.4,0.13718071147965238
88.5,0.1375170002436447
88.6,0.13785908538544864
88.7,0.13820714009714857
88.8,0.13856134453764044
88.9,0.13892188618425053
89,0.13928896021453452
89.1,0.13966276989269036
89.2,0.14004352699536243
89.3,0.14043145225687234
89.4,0.14082677584791736
89.5,0.14122973787681067
89.6,0.14164058893282833
89.7,0.14205959065632864
89.8,0.142487016353025
89.9,0.14292315164713956
90,0.1433682951736642
90.1,0.14382275932636956
90.2,0.14428687105347768
90.3,0.1447609727082426
90.4,0.14524542295497725
90.5,0.1457405977506896
90.6,0.14624689138590685
90.7,0.14676471761529547
90.8,0.14729451085412057
90.9,0.1478367274762515
91,0.1483918472098721
91.1,0.1489603746299124
91.2,0.1495428407829881
91.3,0.15013980492408383
91.4,0.1507518563939215
91.5,0.15137961666001254
91.6,0.1520237414994531
91.7,0.15268492339382994
91.8,0.1533638940903516
91.9,0.1540614274038015
92,0.1547783422514164
92.1,0.1555155059477524
92.2,0.15627383779606338
92.3,0.15705431299459646
92.4,0.1578579669002472
92.5,0.15868589969053012
92.6,0.15953928144509433
92.7,0.16041935771616228
92.8,0.16132745564718518
92.9,0.16226499065737449
93,0.163233473820205
93.1,0.16423451995720292
93.2,0.1652698565746117
93.3,0.16634133372195878
93.4,0.16745093488534593
93.5,0.16860078904719072
93.6,0.16979318406919752
93.7,0.1710305815324765
93.8,0.1723156332798724
93.9,0.17365119982049076
94,0.17504037090286045
94.1,0.17648648849303825
94.2,0.17799317258035563
94.3,0.17956435007183338
94.4,0.1812042873826508
94.5,0.18291762713330822
94.6,0.18470942959109368
94.7,0.18658521965515754
94.8,0.18855104011714535
94.9,0.1906135122658467
95,0.19277990499454756
95.1,0.19505821376036334
95.2,0.19745725110152035
95.3,0.19998675056691897
95.4,0.20265748646387524
95.5,0.20548141216773952
95.6,0.20847182024766248
95.7,0.21164352849080395
95.8,0.21501309649980233
95.9,0.2185990787523241
96,0.222422320950829
96.1,0.22650630817090922
96.2,0.2308775749789831
96.3,0.23556618987013778
96.4,0.24060632882130303
96.5,0.2460369561550462
96.6,0.25190263419624365
96.7,0.25825448738458906
96.8,0.26515135136471757
96.9,0.2726611418099263
97,0.2808624821479155
97.1,0.2898466308396157
97.2,0.29971974675782276
97.3,0.31060551770612677
97.4,0.3226481457175669
97.5,0.3360156142268831
97.6,0.35090302828431713
97.7,0.36753556377018864
97.8,0.38617009311902456
97.9,0.40709370749093565
98,0.43061585586775614
98.1,0.4570482277750804
98.2,0.48666218739466727
98.3,0.5196068128753536
98.4,0.5557612905307973
98.5,0.5944861905911453
98.6,0.6342398693962059
98.7,0.6720681322522246
98.8,0.7031124037305159
98.9,0.7205596038937525
99,0.7167505553907152
99.1,0.6859337934614103
99.2,0.6277574106243918
99.3,0.548854573248092
99.4,0.4605372400749025
99.5,0.37410024103186956
99.6,0.2972549748455926
99.7,0.23336866865453298
99.8,0.18260267198496763
99.9,0.1434392654960436
100,0.11380274228581118
