% Model,1337-solved.mph
% Version,COMSOL 5.6.0.401
% Date,"Jun 1 2021, 14:42"
% Table,Table 55 - Global Evaluation 6
% freq (Hz),1-abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
80,0.11942990189751426
80.1,0.11954197392970019
80.2,0.11965464183809982
80.3,0.1197679124578657
80.4,0.1198817927356337
80.5,0.1199962897340296
80.6,0.12011141063655938
80.7,0.12022716274278124
80.8,0.12034355347807707
80.9,0.12046059039230009
81,0.12057828116451211
81.1,0.12069663360407121
81.2,0.12081565565252286
81.3,0.12093535539119571
81.4,0.12105574103695063
81.5,0.1211768209528644
81.6,0.12129860364535924
81.7,0.12142109776961124
81.8,0.12154431213418442
81.9,0.12166825570003867
82,0.1217929375900801
82.1,0.12191836708736001
82.2,0.12204455364077739
82.3,0.12217150687050511
82.4,0.12229923656678199
82.5,0.12242775269881111
82.6,0.12255706541800572
82.7,0.12268718505819551
82.8,0.12281812214590745
82.9,0.12294988739741693
83,0.12308249173211264
83.1,0.12321594626629948
83.2,0.12335026233004284
83.3,0.12348545146060859
83.4,0.12362152541431883
83.5,0.12375849617112347
83.6,0.12389637593845404
83.7,0.1240351771528638
83.8,0.1241749124929858
83.9,0.12431559488220159
84,0.12445723749252091
84.1,0.12459985375244492
84.2,0.1247434573520252
84.3,0.12488806225064607
84.4,0.12503368268449913
84.5,0.12518033317115865
84.6,0.1253280285151752
84.7,0.12547678381842436
84.8,0.12562661448941462
84.9,0.1257775362446906
85,0.1259295651199552
85.1,0.12608271748028743
85.2,0.12623701002549503
85.3,0.12639245979870345
85.4,0.12654908419668778
85.5,0.1267069009792889
85.6,0.12686592827623627
85.7,0.12702618459926376
85.8,0.1271876888526974
85.9,0.12735046034046796
86,0.12751451877921713
86.1,0.12767988431208024
86.2,0.12784657751247963
86.3,0.12801461940106296
86.4,0.12818403145960383
86.5,0.1283548356393242
86.6,0.12852705437385584
86.7,0.12870071059670846
86.8,0.128875827749786
86.9,0.1290524298023114
87,0.12923054126141573
87.1,0.12941018719147798
87.2,0.12959139322718413
87.3,0.12977418558728776
87.4,0.12995859109828042
87.5,0.1301446372069826
87.6,0.13033235199850798
87.7,0.13052176421485362
87.8,0.1307129032765824
87.9,0.1309057993021549
88,0.13110048312587602
88.1,0.13129698632132183
88.2,0.13149534122272027
88.3,0.13169558095018224
88.4,0.13189773943067837
88.5,0.13210185142191874
88.6,0.13230795254309255
88.7,0.13251607929627263
88.8,0.13272626909304278
88.9,0.132938560289208
89,0.13315299220804008
89.1,0.13336960517420468
89.2,0.13358844054558094
89.3,0.13380954074317414
89.4,0.13403294929192544
89.5,0.1342587108473626
89.6,0.13448687124084666
89.7,0.13471747751435348
89.8,0.13495057795918436
89.9,0.13518622216157064
90,0.13542446104100833
90.1,0.1356653469005709
90.2,0.13590893346898014
90.3,0.136155275952735
90.4,0.13640443108276187
90.5,0.13665645717558145
90.6,0.13691141417620942
90.7,0.13716936372627747
90.8,0.13743036921736054
90.9,0.13769449585666574
91,0.13796181073159255
91.1,0.1382323828715772
91.2,0.13850628332977416
91.3,0.1387835852481713
91.4,0.13906436393665791
91.5,0.13934869695353214
91.6,0.13963666419240287
91.7,0.1399283479644851
91.8,0.1402238330934314
91.9,0.14052320701476576
92,0.1408265598667893
92.1,0.1411339846045301
92.2,0.14144557710618103
92.3,0.1417614362847158
92.4,0.14208166421602514
92.5,0.14240636625655248
92.6,0.14273565118110923
92.7,0.14306963131947686
92.8,0.14340842270266632
92.9,0.14375214521165883
93,0.14410092274402503
93.1,0.14445488337638557
93.2,0.1448141595403327
93.3,0.14517888821588704
93.4,0.14554921111230257
93.5,0.14592527488748344
93.6,0.1463072313541754
93.7,0.14669523770918855
93.8,0.14708945677411878
93.9,0.14749005724375097
94,0.14789721395176236
94.1,0.1483111081539479
94.2,0.148731927813737
94.3,0.1491598679239478
94.4,0.14959513082757014
94.5,0.15003792656598058
94.6,0.15048847324724046
94.7,0.15094699742834813
94.8,0.15141373452890844
94.9,0.15188892926337966
95,0.15237283609784022
95.1,0.15286571973611404
95.2,0.15336785563603006
95.3,0.153879530555601
95.4,0.1544010431255103
95.5,0.15493270447383767
95.6,0.1554748388728167
95.7,0.15602778442971243
95.8,0.15659189383300862
95.9,0.1571675351275867
96,0.15775509255718836
96.1,0.1583549674523409
96.2,0.15896757917776433
96.3,0.15959336614508893
96.4,0.1602327868921267
96.5,0.16088632123558413
96.6,0.16155447150671257
96.7,0.16223776386691155
96.8,0.1629367497158196
96.9,0.16365200720751175
97,0.1643841428651944
97.1,0.16513379331958838
97.2,0.16590162717105442
97.3,0.16668834699573765
97.4,0.16749469149003385
97.5,0.16832143779290443
97.6,0.1691694039747418
97.7,0.17003945172661913
97.8,0.170932489254461
97.9,0.17184947441062326
98,0.172791418071602
98.1,0.17375938779111982
98.2,0.1747545117585329
98.3,0.17577798307889292
98.4,0.17683106443019608
98.5,0.17791509309931325
98.6,0.17903148646951503
98.7,0.1801817479775295
98.8,0.18136747361469416
98.9,0.18259035899455106
99,0.18385220708331212
99.1,0.185154936631447
99.2,0.18650059139284833
99.3,0.18789135024476947
99.4,0.1893295382297232
99.5,0.19081763872927074
99.6,0.19235830680691948
99.7,0.19395438389389885
99.8,0.1956089139657866
99.9,0.19732516138914635
100,0.19910663062372527
