% Model,30d75h-172_solved.mph
% Version,COMSOL 5.6.0.280
% Date,"Apr 23 2021, 16:04"
% Table,Table 52 - Global Evaluation 4
% freq (Hz),1-abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
80,0.11862572090996606
80.1,0.11872772606137706
80.2,0.11883018363492151
80.3,0.11893309802668973
80.4,0.11903647369019398
80.5,0.11914031514356911
80.6,0.11924462697402072
80.7,0.11934941383235378
80.8,0.1194546804395435
80.9,0.11956043158431168
81,0.11966667212663709
81.1,0.1197734069986912
81.2,0.11988064120574411
81.3,0.11998837982758224
81.4,0.12009662801840644
81.5,0.12020539101213652
81.6,0.12031467411839601
81.7,0.12042448273168659
81.8,0.12053482232482407
81.9,0.1206456984519756
82,0.12075711675637257
82.1,0.12086908296684742
82.2,0.1209816028987905
82.3,0.1210946824574817
82.4,0.12120832764064372
82.5,0.12132254453861407
82.6,0.12143733933778264
82.7,0.12155271832066146
82.8,0.12166868786727383
82.9,0.12178525446143254
83,0.12190242468647651
83.1,0.12202020523371049
83.2,0.12213860289767528
83.3,0.1222576245838541
83.4,0.12237727730750313
83.5,0.12249756820166954
83.6,0.12261850450878799
83.7,0.12274009359209777
83.8,0.12286234293644538
83.9,0.12298526014637504
84,0.12310885295361047
84.1,0.1232331292181528
84.2,0.12335809692957063
84.3,0.12348376420944618
84.4,0.12361013931756154
84.5,0.12373723065151622
84.6,0.12386504674898599
84.7,0.1239935962952864
84.8,0.12412288812053757
84.9,0.12425293120794326
85,0.12438373469310392
85.1,0.12451530786923151
85.2,0.12464766018953559
85.3,0.1247808012737716
85.4,0.12491474090629691
85.5,0.12504948904574084
85.6,0.1251850558233185
85.7,0.12532145154850838
85.8,0.12545868671760851
85.9,0.12559677201006855
86,0.12573571829555233
86.1,0.1258755366444619
86.2,0.1260162383208499
86.3,0.12615783479555323
86.4,0.12630033774810065
86.5,0.12644375906969785
86.6,0.12658811087270194
86.7,0.12673340549018244
86.8,0.12687965548504157
86.9,0.12702687365332438
87,0.12717507303036749
87.1,0.12732426689601586
87.2,0.1274744687802696
87.3,0.1276256924703055
87.4,0.12777795201455125
87.5,0.12793126173081124
87.6,0.12808563621065608
87.7,0.12824109032884384
87.8,0.12839763924630263
87.9,0.1285552984221852
88,0.12871408361661205
88.1,0.12887401089690087
88.2,0.12903509665325189
88.3,0.12919735759510595
88.4,0.12936081077204595
88.5,0.12952547356730387
88.6,0.1296913637209819
88.7,0.12985849932902183
88.8,0.13002689885431098
88.9,0.1301965811420745
89,0.13036756541657807
89.1,0.13053987130626246
89.2,0.13071351884331306
89.3,0.13088852847725244
89.4,0.1310649210885107
89.5,0.13124271799407974
89.6,0.1314219409637974
89.7,0.13160261223127126
89.8,0.13178475450375152
89.9,0.1319683909785501
90,0.13215354535282697
90.1,0.132340241840545
90.2,0.13252850518270448
90.3,0.13271836066167628
90.4,0.13290983412306898
90.5,0.13310295198141164
90.6,0.1332977412410286
90.7,0.13349422951506237
90.8,0.13369244503627245
90.9,0.13389241667722526
91,0.13409417397272003
91.1,0.13429774713073306
91.2,0.1345031670557424
91.3,0.13471046537330789
91.4,0.13491967444044037
91.5,0.13513082737684673
91.6,0.1353439580811303
91.7,0.13555910125728568
91.8,0.1357762924349592
91.9,0.13599556799802973
92,0.13621696520834398
92.1,0.13644052223188344
92.2,0.13666627816521956
92.3,0.13689427306782476
92.4,0.13712454798568516
92.5,0.13735714498647025
92.6,0.1375921071891426
92.7,0.13782947879974128
92.8,0.1380693051405526
92.9,0.1383116326879534
93,0.13855650911247724
93.1,0.13880398330994959
93.2,0.13905410544428376
93.3,0.13930692699532624
93.4,0.13956250078666305
93.5,0.13982088104514973
93.6,0.14008212343766172
93.7,0.1403462851225631
93.8,0.14061342479958192
93.9,0.14088360276001088
94,0.14115688094174078
94.1,0.1414333229866871
94.2,0.14171299429678405
94.3,0.14199596209471305
94.4,0.14228229549152677
94.5,0.1425720655494069
94.6,0.14286534534832587
94.7,0.14316221006238652
94.8,0.1434627370321954
94.9,0.14376700584335284
95,0.1440750984064262
95.1,0.14438709904573133
95.2,0.14470309458129282
95.3,0.14502317442981072
95.4,0.14534743069621883
95.5,0.14567595827301552
95.6,0.1460088549481343
95.7,0.14634622151988655
95.8,0.14668816190356984
95.9,0.14703478325473449
96,0.14738619610396325
96.1,0.14774251447685002
96.2,0.14810385603752554
96.3,0.14847034223610234
96.4,0.1488420984578556
96.5,0.1492192541830881
96.6,0.149601943154275
96.7,0.1499903035468779
96.8,0.15038447816187286
96.9,0.15078461461163503
97,0.15119086552465466
97.1,0.15160338875866028
97.2,0.15202234762398378
97.3,0.15244791111615205
97.4,0.1528802541664787
97.5,0.15331955790225055
97.6,0.15376600991712402
97.7,0.1542198045614037
97.8,0.15468114324546373
97.9,0.15515023475962283
98,0.1556272956116292
98.1,0.15611255038248806
98.2,0.156606232099803
98.3,0.15710858264066324
98.4,0.15761985313897434
98.5,0.15814030443945762
98.6,0.15867020756027841
98.7,0.1592098441850043
98.8,0.15975950719107226
98.9,0.16031950120004498
99,0.16089014317139627
99.1,0.16147176301326105
99.2,0.1620647042551861
99.3,0.16266932473938403
99.4,0.16328599736696037
99.5,0.16391511088719127
99.6,0.16455707073414785
99.7,0.16521229992666983
99.8,0.16588124000546123
99.9,0.1665643520535763
100,0.1672621177654848
