% Model,30d75h-75..mph
% Version,COMSOL 5.6.0.280
% Date,"Apr 20 2021, 20:05"
% Table,Table 52 - Global Evaluation 4
% freq (Hz),1-abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
80,0.1271651990898826
80.1,0.12743482983828577
80.2,0.12770908623078922
80.3,0.12798810958020032
80.4,0.1282720470324289
80.5,0.12856105188674566
80.6,0.12885528390596013
80.7,0.12915490966848037
80.8,0.12946010292286358
80.9,0.1297710449924849
81,0.130087925172823
81.1,0.13041094118845462
81.2,0.13074029964998704
81.3,0.13107621657245624
81.4,0.1314189179001157
81.5,0.13176864008950004
81.6,0.13212563071919847
81.7,0.132490149151662
81.8,0.13286246724102727
81.9,0.13324287008118996
82,0.13363165682892264
82.1,0.13402914156814064
82.2,0.13443565425411047
82.3,0.1348515417172012
82.4,0.13527716875088028
82.5,0.13571291928675583
82.6,0.1361591976536905
82.7,0.13661642994722792
82.8,0.13708506550115332
82.9,0.13756557847960782
83,0.13805846961786125
83.1,0.1385642680847405
83.2,0.1390835335226882
83.3,0.13961685825269576
83.4,0.14016486968618502
83.5,0.14072823293866998
83.6,0.14130765368188483
83.7,0.1419038812623174
83.8,0.14251771210789213
83.9,0.14314999345092647
84,0.14380162741773073
84.1,0.14447357550644732
84.2,0.1451668635094075
84.3,0.14588258693857453
84.4,0.14662191698756513
84.5,0.14738610713676129
84.6,0.14817650041784275
84.7,0.14899453750436828
84.8,0.14984176564413
84.9,0.15071984859925314
85,0.1516305777226467
85.1,0.15257588426996688
85.2,0.15355785320235232
85.3,0.1545787385922782
85.4,0.15564098093497197
85.5,0.15674722658516607
85.6,0.15790034965000926
85.7,0.15910347671641037
85.8,0.16036001482161083
85.9,0.16167368317994732
86,0.1630485492573784
86.1,0.16448906989346174
86.2,0.16600013832538693
86.3,0.16758713805745448
86.4,0.16925600482330594
86.5,0.1710132980149297
86.6,0.17286628331448994
86.7,0.17482302857036058
86.8,0.17689251545910745
86.9,0.17908476993505287
87,0.18141101525493727
87.1,0.1838838521333996
87.2,0.1865174716575219
87.3,0.18932790801748658
87.4,0.19233333979983777
87.5,0.19555445070776853
87.6,0.1990148635160948
87.7,0.20274166464769108
87.8,0.20676604144009153
87.9,0.21112406036866185
88,0.21585762232478886
88.1,0.22101564182789774
88.2,0.22665551039443452
88.3,0.23284492275868515
88.4,0.2396641681248742
88.5,0.24720901961657543
88.6,0.2555943951750392
88.7,0.26495901340993533
88.8,0.27547132879355857
88.9,0.28733709810847213
89,0.3008089888282398
89.1,0.31619865272809977
89.2,0.33389155724599967
89.3,0.3543643730568042
89.4,0.3782033589622296
89.5,0.406118849748293
89.6,0.438943227199178
89.7,0.47758259218458404
89.8,0.5228560798041582
89.9,0.5750864762429924
90,0.6331945186308205
90.1,0.6929700733519331
90.2,0.7445262125920308
90.3,0.7706361103000732
90.4,0.7509097617396673
90.5,0.6756566452445514
90.6,0.5588059025962122
90.7,0.43063258557683454
90.8,0.31681537501920914
90.9,0.22806906199438
91,0.16388424738786497
91.1,0.11933133943280909
91.2,0.08908858162673253
91.3,0.068847854450842
91.4,0.05548050236228428
91.5,0.04681611540409141
91.6,0.0413750431981665
91.7,0.038151998784317936
91.8,0.036461513377064214
91.9,0.03583291911302604
92,0.0359403382128416
92.1,0.036556214554170456
92.2,0.03752037325309433
92.3,0.038719271907010494
92.4,0.04007195870398049
92.5,0.04152047375896934
92.6,0.043023220102108795
92.7,0.04455033909299462
92.8,0.0460804527253319
92.9,0.04759834757371932
93,0.04909331409286436
93.1,0.05055794627941393
93.2,0.05198726781830109
93.3,0.05337809170417376
93.4,0.05472854824488255
93.5,0.056037735363929295
93.6,0.057305458412618346
93.7,0.05853203590466887
93.8,0.05971815404091873
93.9,0.06086475764339691
94,0.061972968279557415
94.1,0.06304402285561736
94.2,0.06407922764132426
94.3,0.06507992399759846
94.4,0.06604746294097308
94.5,0.06698318646775776
94.6,0.06788841400125853
94.7,0.0687644327461854
94.8,0.06961249101208254
94.9,0.07043379379904245
95,0.07122950008666822
95.1,0.07200072142134165
95.2,0.07274852145608704
95.3,0.07347391621957335
95.4,0.07417787490322982
95.5,0.0748613210224293
95.6,0.07552513384879593
95.7,0.07617015000912059
95.8,0.07679716520091968
95.9,0.07740693596583173
96,0.078000181480544
96.1,0.0785775853416654
96.2,0.07913979732464461
96.3,0.07968743509896987
96.4,0.08022108588099149
96.5,0.08074130803418171
96.6,0.08124863260353485
96.7,0.08174356476859236
96.8,0.08222658524347896
96.9,0.08269815159554675
97,0.08315869949958207
97.1,0.08360864392743893
97.2,0.0840483802663446
97.3,0.08447828538491378
97.4,0.08489871862736471
97.5,0.08531002276352422
97.6,0.08571252487255324
97.7,0.08610653718787005
97.8,0.08649235788460204
97.9,0.08687027181995802
98,0.08724055124311635
98.1,0.0876034564452247
98.2,0.08795923639165883
98.3,0.08830812929942987
98.4,0.08865036319398263
98.5,0.08898615642695352
98.6,0.08931571817100198
98.7,0.08963924887479208
98.8,0.08995694070453004
98.9,0.09026897795399393
99,0.09057553742878306
99.1,0.0908767888181264
99.2,0.09117289503486391
99.3,0.09146401254696458
99.4,0.09175029167820745
99.5,0.09203187690924461
99.6,0.09230890714440934
99.7,0.09258151597856101
99.8,0.09284983193620691
99.9,0.0931139787136963
100,0.09337407539068902
