% Model,1073_solved.mph
% Version,COMSOL 5.6.0.401
% Date,"May 19 2021, 22:20"
% Table,Table 52 - Global Evaluation 4
% freq (Hz),1-abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
80,0.03842965538888912
80.1,0.038461863051087536
80.2,0.03849412784933875
80.3,0.03852644998094725
80.4,0.03855882964512596
80.5,0.03859126704364239
80.6,0.038623762379665326
80.7,0.03865631585881646
80.8,0.03868892768876405
80.9,0.038721598079340384
81,0.03875432724246276
81.1,0.03878711539217709
81.2,0.03881996274500679
81.3,0.038852869519494244
81.4,0.03888583593648335
81.5,0.038918862219436044
81.6,0.03895194859372278
81.7,0.0389850952875119
81.8,0.03901830253088535
81.9,0.03905157055670617
82,0.03908489960052148
82.1,0.03911828989991349
82.2,0.039151741695271795
82.3,0.03918525522973308
82.4,0.03921883074857236
82.5,0.03925246850026693
82.6,0.03928616873572795
82.7,0.03931993170813721
82.8,0.039353757674499674
82.9,0.039387646894023486
83,0.0394215996283714
83.1,0.0394556161430293
83.2,0.03948969670549875
83.3,0.039523841586739834
83.4,0.039558051061013254
83.5,0.0395923254046878
83.6,0.039626664898087076
83.7,0.039661069824697213
83.8,0.03969554047037346
83.9,0.03973007712520401
84,0.039764680082008105
84.1,0.039799349636845484
84.2,0.039834086089432084
84.3,0.03986888974307519
84.4,0.03990376090388167
84.5,0.0399386998823243
84.6,0.03997370699222207
84.7,0.04000878255028742
84.8,0.04004392687795702
84.9,0.040079140299849714
85,0.040114423144651176
85.1,0.04014977574453214
85.2,0.04018519843609528
85.3,0.04022069155918731
85.4,0.04025625545860131
85.5,0.04029189048274072
85.6,0.04032759698391329
85.7,0.040363375319244915
85.8,0.04039922584956483
85.9,0.04043514894061936
86,0.04047114496207957
86.1,0.04050721428818241
86.2,0.04054335729792394
86.3,0.040579574375038945
86.4,0.04061586590788171
86.5,0.04065223228888486
86.6,0.040688673916399756
86.7,0.04072519119313598
86.8,0.04076178452647486
86.9,0.04079845432970607
87,0.040835201020688085
87.1,0.040872025022626005
87.2,0.04090892676414443
87.3,0.04094590667876374
87.4,0.04098296520651986
87.5,0.041020102792369534
87.6,0.04105731988701805
87.7,0.04109461694636107
87.8,0.04113199443354861
87.9,0.0411694528163005
88,0.04120699256894964
88.1,0.041244614172162394
88.2,0.04128231811263941
88.3,0.04132010488314233
88.4,0.041357974983479484
88.5,0.04139592891924739
88.6,0.04143396720365467
88.7,0.04147209035596382
88.8,0.041510298902469836
88.9,0.04154859337685197
89,0.04158697431933659
89.1,0.04162544227773954
89.2,0.04166399780715273
89.3,0.04170264147022128
89.4,0.04174137383710106
89.5,0.041780195485786244
89.6,0.04181910700226259
89.7,0.041858108980006824
89.8,0.041897202021428666
89.9,0.04193638673667436
90,0.041975663744265916
90.1,0.042015033671747797
90.2,0.042054497155114216
90.3,0.04209405483936303
90.4,0.04213370737833448
90.5,0.04217345543520089
90.6,0.04221329968257794
90.7,0.042253240802764554
90.8,0.042293279487136216
90.9,0.04233341643736271
91,0.04237365236547818
91.1,0.04241398799279828
91.2,0.04245442405251498
91.3,0.042494961287051394
91.4,0.042535600450132584
91.5,0.042576342306838585
91.6,0.042617187632659335
91.7,0.04265813721495227
91.8,0.042699191853560955
91.9,0.04274035235836361
92,0.04278161955220476
92.1,0.042822994270680426
92.2,0.04286447736106184
92.3,0.04290606968389273
92.4,0.042947772112380024
92.5,0.04298958553317263
92.6,0.043031510846446755
92.7,0.04307354896569769
92.8,0.04311570081886764
92.9,0.04315796734787742
93,0.043200349509394186
93.1,0.04324284827494542
93.2,0.04328546463098713
93.3,0.043328199579214695
93.4,0.0433710541378071
93.5,0.04341402933988652
93.6,0.04345712623557384
93.7,0.04350034589160969
93.8,0.04354368939174751
93.9,0.043587157836719875
94,0.04363075234535076
94.1,0.04367447405424577
94.2,0.04371832411871433
94.3,0.04376230371228404
94.4,0.043806414028055865
94.5,0.04385065627871216
94.6,0.043895031696787906
94.7,0.043939541535050565
94.8,0.043984187067213895
94.9,0.04402896958821103
95,0.04407389041467836
95.1,0.04411895088502509
95.2,0.04416415236033813
95.3,0.04420949622543234
95.4,0.04425498388779452
95.5,0.04430061677947002
95.6,0.044346396356999586
95.7,0.044392324101524515
95.8,0.044438401520691985
95.9,0.044484630147762765
96,0.04453101154273257
96.1,0.044577547293192334
96.2,0.04462423901467289
96.3,0.04467108835114133
96.4,0.044718096975754504
96.5,0.04476526659169666
96.6,0.04481259893242799
96.7,0.04486009576299402
96.8,0.04490775887988764
96.9,0.044955590112616094
97,0.045003591323955615
97.1,0.045051764410785185
97.2,0.045100111304639666
97.3,0.04514863397349289
97.4,0.04519733442109564
97.5,0.04524621468895048
97.6,0.04529527685727034
97.7,0.04534452304491825
97.8,0.04539395541071319
97.9,0.04544357615542549
98,0.045493387520824886
98.1,0.045543391792674554
98.2,0.045593591299852694
98.3,0.045643988417496145
98.4,0.04569458556611989
98.5,0.04574538521436575
98.6,0.045796389878598194
98.7,0.04584760212569008
98.8,0.045899024573226886
98.9,0.04595065989083387
99,0.04600251080211496
99.1,0.04605458008520348
99.2,0.04610687057505063
99.3,0.046159385163505255
99.4,0.04621212680265352
99.5,0.04626509850463753
99.6,0.046318303344264074
99.7,0.04637174445987847
99.8,0.046425425055925874
99.9,0.046479348403496344
100,0.04653351784348747
