% Model,75h0d_v132_solved.mph
% Version,COMSOL 5.6.0.280
% Date,"Apr 14 2021, 12:20"
% Table,Table 55 - Global Evaluation 6
% freq (Hz),1-abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
80,0.17479616556751779
80.1,0.1753528212089806
80.2,0.1759186513903577
80.3,0.17649397478296
80.4,0.17707912519095248
80.5,0.17767445245674793
80.6,0.17828032342923128
80.7,0.17889712300562874
80.8,0.17952525525235685
80.9,0.18016514460248406
81,0.18081723715822512
81.1,0.1814820020744419
81.2,0.1821599330681839
81.3,0.18285155003337264
81.4,0.18355740079109892
81.5,0.18427806298679555
81.6,0.1850141461275759
81.7,0.18576629380632836
81.8,0.18653518609833425
81.9,0.18732154217502897
82,0.18812612313262214
82.1,0.18894973508045698
82.2,0.18979323249284774
82.3,0.19065752187420518
82.4,0.1915435657578608
82.5,0.19245238706313128
82.6,0.19338507389738177
82.7,0.19434278477305095
82.8,0.1953267543809433
82.9,0.1963382998918779
83,0.19737882793382205
83.1,0.19844984223602916
83.2,0.19955295212101418
83.3,0.20068988184009381
83.4,0.20186248096189893
83.5,0.20307273585974153
83.6,0.20432278249704525
83.7,0.20561492066642847
83.8,0.20695162984661938
83.9,0.20833558695774518
84,0.2097696862220456
84.1,0.21125706145526402
84.2,0.21280111112994202
84.3,0.21440552663312584
84.4,0.21607432417784797
84.5,0.21781188093592133
84.6,0.2196229760415815
84.7,0.2215128372885865
84.8,0.22348719435770703
84.9,0.22555233977435782
85,0.22771519880363666
85.1,0.22998340991179905
85.2,0.23236541768792654
85.3,0.2348705803924418
85.4,0.23750929499157403
85.5,0.2402931429687704
85.6,0.24323506094881744
85.7,0.2463495412009842
85.8,0.24965286814859097
85.9,0.25316339848183156
86,0.2569018944068993
86.1,0.26089192190265736
86.2,0.26516032880731544
86.3,0.26973782171253186
86.4,0.27465966549859194
86.5,0.2799665362251108
86.6,0.28570556644848716
86.7,0.2919316341211261
86.8,0.29870896047137024
86.9,0.3061131032681855
87,0.31423345771653644
87.1,0.3231764132075945
87.2,0.33306936018709493
87.3,0.34406580315643054
87.4,0.3563519130805921
87.5,0.37015494941322313
87.6,0.3857540887972529
87.7,0.4034942951401873
87.8,0.42380388473968933
87.9,0.44721621506961
88,0.474395048099705
88.1,0.5061606524780435
88.2,0.5435073849461892
88.3,0.5875882712564047
88.4,0.6396069327798017
88.5,0.700480025317517
88.6,0.7699805287623215
88.7,0.8448412182169581
88.8,0.9152528199573949
88.9,0.9605539641512991
89,0.9499992582342098
89.1,0.8597014667029617
89.2,0.7005233230661426
89.3,0.5184887711557586
89.4,0.35831282807680825
89.5,0.23854780950782964
89.6,0.15710735006689877
89.7,0.10466588181377119
89.8,0.0720995709571417
89.9,0.0525789444992412
90,0.041477507747200215
90.1,0.03578150586833688
90.2,0.03355176701607603
90.3,0.03354033168917373
90.4,0.03493948454625
90.5,0.03722248240699304
90.6,0.0400432812887863
90.7,0.04317321963168038
90.8,0.046460703638394885
90.9,0.04980526042745249
91,0.05314064273754701
91.1,0.05642369854486366
91.2,0.059626956261068634
91.3,0.0627336338885924
91.4,0.06573424817057287
91.5,0.06862429195034729
91.6,0.07140263206706646
91.7,0.07407039822060815
91.8,0.07663020920147867
91.9,0.07908563285887693
92,0.08144080913095808
92.1,0.08370018750430763
92.2,0.08586834519167043
92.3,0.08794986240855894
92.4,0.08994923821550144
92.5,0.0918708351872091
92.6,0.09371884447382965
92.7,0.09549726539912436
92.8,0.09720989520589314
92.9,0.09886032595722503
93,0.10045194631492187
93.1,0.10198794663954897
93.2,0.10347132621507306
93.3,0.10490490183892925
93.4,0.10629131713114554
93.5,0.10763305216632707
93.6,0.10893243314849074
93.7,0.11019164192004587
93.8,0.11141272515245518
93.9,0.11259760316324662
94,0.11374807829320129
94.1,0.11486584281055884
94.2,0.11595248633553554
94.3,0.11700950281618043
94.4,0.11803829701306393
94.5,0.11904019057534931
94.6,0.12001642766108497
94.7,0.1209681801852348
94.8,0.12189655268764502
94.9,0.12280258683855022
95,0.12368726562941669
95.1,0.12455151725650558
95.2,0.12539621872165732
95.3,0.12622219916821925
95.4,0.12703024298051002
95.5,0.1278210926506612
95.6,0.12859545145314605
95.7,0.1293539859082534
95.8,0.1300973280881637
95.9,0.13082607774272711
96,0.1315408042917695
96.1,0.1322420486624436
96.2,0.13293032500890867
96.3,0.1336061223104661
96.4,0.13426990585560716
96.5,0.13492211863551298
96.6,0.13556318262891726
96.7,0.13619350001549582
96.8,0.1368134542976054
96.9,0.13742341135526465
97,0.1380237204280554
97.1,0.13861471503415762
97.2,0.13919671383207818
97.3,0.13977002142643505
97.4,0.14033492912090048
97.5,0.14089171562931901
97.6,0.1414406477324397
97.7,0.14198198091051473
97.8,0.14251595991817742
97.9,0.14304281934150037
98,0.1435627841099017
98.1,0.14407606998301198
98.2,0.14458288400853261
98.3,0.14508342495166762
98.4,0.14557788370024036
98.5,0.1460664436489588
98.6,0.14654928105534612
98.7,0.1470265653874568
98.8,0.14749845963407135
98.9,0.1479651206178133
99,0.14842669927594646
99.1,0.14888334093155955
99.2,0.1493351855539962
99.3,0.14978236799532083
99.4,0.15022501822105275
99.5,0.15066326153103252
99.6,0.15109721876192506
99.7,0.1515270064850191
99.8,0.15195273718675162
99.9,0.1523745194482671
100,0.15279245811288025
