% Model,0d65h_730_solved.mph
% Version,COMSOL 5.6.0.280
% Date,"May 12 2021, 23:54"
% Table,Table 52 - Global Evaluation 4
% freq (Hz),1-abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
80,0.17394874621097214
80.1,0.17446636778845462
80.2,0.17499149752049198
80.3,0.17552437036726506
80.4,0.1760652313759138
80.5,0.17661433621512282
80.6,0.17717195176061817
80.7,0.17773835670656563
80.8,0.17831384223158864
80.9,0.17889871269533775
81,0.1794932863982527
81.1,0.18009789637232718
81.2,0.18071289125093437
81.3,0.18133863618390433
81.4,0.18197551381890054
81.5,0.18262392536203695
81.6,0.1832842917106231
81.7,0.1839570546664702
81.8,0.18464267824482983
81.9,0.18534165008184048
82,0.18605448294721505
82.1,0.1867817163748473
82.2,0.18752391842338892
82.3,0.18828168757497218
82.4,0.18905565478996258
82.5,0.189846485722933
82.6,0.1906548831292539
82.7,0.19148158946908442
82.8,0.19232738973350777
82.9,0.19319311451602802
83,0.19407964334931543
83.1,0.19498790833690663
83.2,0.19591889812247032
83.3,0.1968736621999545
83.4,0.19785331564509026
83.5,0.1988590442768777
83.6,0.19989211031528364
83.7,0.20095385858900117
83.8,0.2020457233557758
83.9,0.20316923579148086
84,0.20432603225998774
84.1,0.20551786342229597
84.2,0.20674660430011607
84.3,0.20801426542621385
84.4,0.20932300519323438
84.5,0.2106751435744722
84.6,0.21207317738255768
84.7,0.21351979727435433
84.8,0.21501790673111482
84.9,0.21657064331511697
85,0.2181814024622314
85.1,0.21985386424427866
85.2,0.22159202346218956
85.3,0.2234002236226376
85.4,0.22528319533857424
85.5,0.22724609986944916
85.6,0.22929457859997082
85.7,0.23143480939138725
85.8,0.23367357094613606
85.9,0.23601831657004077
86,0.23847725885175855
86.1,0.24105946725573626
86.2,0.24377498088170502
86.3,0.24663493924436541
86.4,0.24965173434502452
86.5,0.2528391882171519
86.6,0.25621276092671996
86.7,0.2597897951501266
86.8,0.2635898048757072
86.9,0.2676348176380517
87,0.27194978178070733
87.1,0.2765630533541912
87.2,0.28150698074449815
87.3,0.28681860990802366
87.4,0.29254053914953676
87.5,0.2987219602508655
87.6,0.3054199327372379
87.7,0.31270095137114007
87.8,0.32064288370100047
87.9,0.32933737661012674
88,0.3388928585906612
88.1,0.3494382998939741
88.2,0.36112793590985315
88.3,0.3741472092740784
88.4,0.3887202384584334
88.5,0.40511915870584303
88.6,0.4236756709892757
88.7,0.44479498595043016
88.8,0.46897187929428397
88.9,0.4968073614556634
89,0.5290216191732248
89.1,0.5664525089608675
89.2,0.6100150555411062
89.3,0.660568511778398
89.4,0.7185807340068869
89.5,0.783381699763329
89.6,0.851682602924593
89.7,0.9151083276063371
89.8,0.9574495170537922
89.9,0.9552382982416856
90,0.8880810686863662
90.1,0.7574592342755039
90.2,0.593269741608796
90.3,0.4340724424426989
90.4,0.3039062833217073
90.5,0.20827484668645022
90.6,0.142382667781871
90.7,0.09874019994887483
90.8,0.07066596569254635
90.9,0.05315245385426294
91,0.04271088464592428
91.1,0.0369845207274698
91.2,0.03439833039701434
91.3,0.03390044388308637
91.4,0.0347854860954868
91.5,0.03657756429841088
91.6,0.03895357211276385
91.7,0.041692920775045425
91.8,0.04464441427389759
91.9,0.04770424360565495
92,0.05080122995668993
92.1,0.05388683162835339
92.2,0.05692831115646131
92.3,0.05990401994515442
92.4,0.06280011609750065
92.5,0.06560826192536534
92.6,0.06832399740016815
92.7,0.07094558422485753
92.8,0.0734731802511376
92.9,0.07590824760168285
93,0.0782531271873687
93.1,0.08051073257570529
93.2,0.08268432981535657
93.3,0.08477737951191895
93.4,0.08679342416931071
93.5,0.08873600850395723
93.6,0.09060862388675149
93.7,0.09241467035988722
93.8,0.09415743158736112
93.9,0.0958400591422345
94,0.09746556365624916
94.1,0.09903681087376667
94.2,0.10055652123562557
94.3,0.10202727195370546
94.4,0.10345150076989892
94.5,0.10483151089822065
94.6,0.10616947666538412
94.7,0.10746744956695294
94.8,0.10872736453521138
94.9,0.10995104622793722
95,0.11114021523057938
95.1,0.11229649410487241
95.2,0.1134214132128684
95.3,0.11451641629556182
95.4,0.11558286577599255
95.5,0.11662204778702122
95.6,0.11763517691237221
95.7,0.11862340064078235
95.8,0.11958780356833189
95.9,0.1205294113172649
96,0.12144919421552358
96.1,0.12234807073313514
96.2,0.12322691069652812
96.3,0.1240865382872202
96.4,0.12492773484216226
96.5,0.12575124146703615
96.6,0.1265577614789007
96.7,0.12734796267501797
96.8,0.1281224794648442
96.9,0.12888191484565586
97,0.12962684225478802
97.1,0.13035780730166435
97.2,0.13107532937496108
97.3,0.13177990315432145
97.4,0.13247200002131823
97.5,0.13315206937158072
97.6,0.13382053985224596
97.7,0.13447782051598836
97.8,0.13512430189703245
97.9,0.1357603570255178
98,0.13638634237608768
98.1,0.1370025987536205
98.2,0.1376094521310344
98.3,0.13820721442841163
98.4,0.13879618425096418
98.5,0.1393766475744017
98.6,0.13994887839776962
98.7,0.14051313935083865
98.8,0.14106968226988043
98.9,0.1416187487358916
99,0.14216057058492154
99.1,0.14269537038399382
99.2,0.1432233618875243
99.3,0.1437447504610181
99.4,0.14425973347771093
99.5,0.14476850070823077
99.6,0.14527123467264816
99.7,0.14576811097717302
99.8,0.14625929863858086
99.9,0.14674496038617785
100,0.1472252529434058
